corpID	docID	sentNo	paragNo	aPos	ID	text	tokenFragment_start	tokenFragment_end	charSegment_start	charSegment_end	babelSynsetID	DBpediaURL	BabelNetURL	score	coherenceScore	globalScore	source
185	23574	1	1	0	4098183	ID:lcch_0001 .	0	0	0	1	bn:00037612n	http://dbpedia.org/resource/Mush_Records	http://babelnet.org/rdf/s00037612n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	2	2	6	9	bn:00048592n	http://dbpedia.org/resource/June	http://babelnet.org/rdf/s00048592n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	2	3	6	14	bn:02821539n	http://dbpedia.org/resource/1996	http://babelnet.org/rdf/s02821539n	1.0	0.71428573	0.6873614	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	6	6	22	27	bn:00028190n	http://dbpedia.org/resource/Lord's_Day	http://babelnet.org/rdf/s00028190n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	6	7	22	37	bn:03202625n	http://dbpedia.org/resource/The_Sunday_Telegraph	http://babelnet.org/rdf/s03202625n	1.0	0.071428575	0.0022172949	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	7	7	29	37	bn:00076383n	http://dbpedia.org/resource/Telegraphy	http://babelnet.org/rdf/s00076383n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	8	8	39	46	bn:00082233v		http://babelnet.org/rdf/s00082233v	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	12	12	59	64	bn:00110256a		http://babelnet.org/rdf/s00110256a	1.0	0.071428575	0.0022172949	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	14	14	86	89	bn:00014152n		http://babelnet.org/rdf/s00014152n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	17	17	100	105	bn:00003418n	http://dbpedia.org/resource/Native_Americans_in_the_United_States	http://babelnet.org/rdf/s00003418n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	17	18	100	116	bn:03355843n	http://dbpedia.org/resource/Government_of_India	http://babelnet.org/rdf/s03355843n	1.0	0.21428572	0.019955654	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	18	18	107	116	bn:00007299n	http://dbpedia.org/resource/Regime	http://babelnet.org/rdf/s00007299n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	21	21	129	134	bn:00088643v		http://babelnet.org/rdf/s00088643v	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	22	22	136	141	bn:00083063v		http://babelnet.org/rdf/s00083063v	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	23	23	143	151	bn:00053801n	http://dbpedia.org/resource/Stuff_(cloth)	http://babelnet.org/rdf/s00053801n	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	24	24	153	156	bn:13783090v		http://babelnet.org/rdf/s13783090v	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	26	26	161	171	bn:00085678v		http://babelnet.org/rdf/s00085678v	0.0	0.0	0.0	MCS
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	27	27	173	178	bn:00063256n	http://dbpedia.org/resource/Poison	http://babelnet.org/rdf/s00063256n	1.0	0.21428572	0.05321508	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	27	28	173	182	bn:00063260n		http://babelnet.org/rdf/s00063260n	0.9375	0.21428572	0.033259425	BABELFY
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	28	28	180	182	bn:00037382n	http://dbpedia.org/resource/Gas	http://babelnet.org/rdf/s00037382n	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	2	2	10	13	bn:00014152n		http://babelnet.org/rdf/s00014152n	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	4	4	17	21	bn:00010203n	http://dbpedia.org/resource/India	http://babelnet.org/rdf/s00010203n	0.9180791	0.9285714	0.19379845	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	6	6	28	32	bn:00084198v		http://babelnet.org/rdf/s00084198v	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	8	8	36	47	bn:00053113n		http://babelnet.org/rdf/s00053113n	1.0	0.071428575	5.963029E-4	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	9	9	49	56	bn:00018096n	http://dbpedia.org/resource/Chemical_substance	http://babelnet.org/rdf/s00018096n	0.8	0.5714286	0.066785924	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	9	10	49	62	bn:00018119n	http://dbpedia.org/resource/Chemical_plant	http://babelnet.org/rdf/s00018119n	1.0	0.5714286	0.047704235	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10	10	58	62	bn:00035324n	http://dbpedia.org/resource/Plant	http://babelnet.org/rdf/s00035324n	0.73333335	0.78571427	0.1639833	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	12	12	67	72	bn:00171589n	http://dbpedia.org/resource/Qazvin	http://babelnet.org/rdf/s00171589n	1.0	0.071428575	5.963029E-4	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	17	17	90	93	bn:13783090v		http://babelnet.org/rdf/s13783090v	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	18	18	95	101	bn:00084082v		http://babelnet.org/rdf/s00084082v	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	19	19	103	113	bn:00108546a		http://babelnet.org/rdf/s00108546a	1.0	0.2857143	0.009540847	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	24	24	141	148	bn:00018096n	http://dbpedia.org/resource/Chemical_substance	http://babelnet.org/rdf/s00018096n	0.8	0.5714286	0.066785924	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	28	28	164	167	bn:13783090v		http://babelnet.org/rdf/s13783090v	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	30	30	172	178	bn:00084082v		http://babelnet.org/rdf/s00084082v	0.0	0.0	0.0	MCS
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	31	31	180	187	bn:00018096n	http://dbpedia.org/resource/Chemical_substance	http://babelnet.org/rdf/s00018096n	0.8	0.5714286	0.066785924	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	31	32	180	195	bn:00018125n	http://dbpedia.org/resource/Chemical_weapon	http://babelnet.org/rdf/s00018125n	1.0	0.42857143	0.025044722	BABELFY
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	32	32	189	195	bn:00005704n	http://dbpedia.org/resource/Weapon	http://babelnet.org/rdf/s00005704n	0.88235295	0.21428572	0.008944544	BABELFY
