corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23811	1	1	0	4106588	November 27 , 1995	null	null	null	null	UNANN	6557485	null	null	null	null
195	23811	1	2	0	4106589	Dear Friend :	null	null	null	null	UNANN	6557486	null	null	null	null
195	23811	1	2	0	4106589	Dear Friend :	2177	friend.n	102	Personal_relationship	UNANN	6557514	null	null	null	null
195	23811	1	2	0	4106589	Dear Friend :	2177	friend.n	102	Personal_relationship	UNANN	6557514	5	10	AlK	Friend
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	null	null	null	null	UNANN	6557487	null	null	null	null
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	2557	kind.n	128	Type	MANUAL	6557515	5	8	AlK	kind
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	5511	people.n	304	People	MANUAL	6557516	13	18	AlK	people
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	13569	by.prep	1790	Means	MANUAL	6557517	28	29	AlK	by
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	12047	contribution.n	139	Giving	MANUAL	6557518	36	47	AlK	contribution
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	10083	child.n	973	People_by_age	MANUAL	6557519	65	72	AlK	Children
195	23811	1	3	0	4106590	What kind of people benefit by your contribution to Pleasant Run Children 's Homes ?	3012	home.n	173	Buildings	MANUAL	6557520	77	81	AlK	Homes
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	null	null	null	null	UNANN	6557488	null	null	null	null
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	8995	like.prep	481	Similarity	MANUAL	6557521	14	17	AlK	like
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	10081	baby.n	973	People_by_age	MANUAL	6557522	19	22	AlK	Baby
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	1921	struggle.n	93	Hostile_encounter	MANUAL	6557523	48	55	AlK	struggle
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	2238	parent.n	104	Kinship	MANUAL	6557526	84	90	AlK	parents
195	23811	1	4	0	4106591	Little ones , like Baby Jessica , caught in the struggle between adoptive and birth parents .	5151	birth.n	281	Giving_birth	MANUAL	6638422	78	82	CVa	birth
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	null	null	null	null	UNANN	6557489	null	null	null	null
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	10071	old.a	972	Age	MANUAL	6557527	0	4	AlK	Older
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	10087	kid.n	973	People_by_age	MANUAL	6557528	6	9	AlK	kids
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	8995	like.prep	481	Similarity	MANUAL	6557529	13	16	AlK	like
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	14847	leave.v	5	Causation	MANUAL	6557530	36	39	AlK	left
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	11746	after.prep	81	Relative_time	MANUAL	6557531	50	54	AlK	after
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	13771	recent.a	81	Relative_time	UNANN	6557532	null	null	null	null
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	13771	recent.a	81	Relative_time	UNANN	6557532	58	63	AlK	recent
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	9052	murder.n	590	Killing	MANUAL	6557533	65	70	AlK	murder
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	8648	suicide.n	590	Killing	MANUAL	6557534	74	80	AlK	suicide
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6557535	82	83	AlK	in
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	2173	mom.n	104	Kinship	MANUAL	6557536	106	108	AlK	Mom
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	2149	dad.n	104	Kinship	MANUAL	6557537	114	116	AlK	Dad
195	23811	2	4	0	4106592	Older kids , like Tracy and Kerry , left homeless after a recent murder - suicide in Indianapolis claimed Mom and Dad .	8265	claim.v	550	Claim_ownership	MANUAL	6557710	98	104	AlK	claimed
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	null	null	null	null	UNANN	6557490	null	null	null	null
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	10073	young.a	972	Age	MANUAL	6557538	0	4	AlK	Young
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	10080	adult.n	973	People_by_age	MANUAL	6557539	6	11	AlK	adults
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	8995	like.prep	481	Similarity	MANUAL	6557540	15	18	AlK	like
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	12594	jobless.a	282	Being_employed	MANUAL	6557541	33	39	AlK	jobless
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	2143	mother.n	104	Kinship	MANUAL	6557542	41	46	AlK	mother
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	3845	three.num	218	Cardinal_numbers	MANUAL	6557543	51	55	AlK	three
195	23811	3	4	0	4106593	Young adults , like Mary T . , a jobless mother of three , trying desperately to keep her kids out of trouble in a crime - ridden neighborhood .	2465	try.v	116	Attempt	MANUAL	6557544	59	64	AlK	trying
