corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23646	1	1	0	4100281	The Entrepreneur Is the New Madonna	null	null	null	null	UNANN	6538361	null	null	null	null
195	23646	1	1	0	4100281	The Entrepreneur Is the New Madonna	12563	new.a	972	Age	MANUAL	6549285	24	26	KmG	New
195	23646	1	2	0	4100282	Dear Joe ,	null	null	null	null	UNANN	6538362	null	null	null	null
195	23646	1	3	0	4100283	I know what you mean about being a journalist .	null	null	null	null	UNANN	6538363	null	null	null	null
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	null	null	null	null	UNANN	6538364	null	null	null	null
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	12788	challenge.n	375	Difficulty	MANUAL	6538518	29	37	KmG	challenge
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	7989	different.a	481	Similarity	MANUAL	6538520	44	52	KmG	different
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	10393	get.v	1070	Transition_to_state	MANUAL	6538527	80	82	KmG	get
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	1325	seem.v	67	Give_impression	MANUAL	6538528	71	75	KmG	seems
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	6568	easy.a	375	Difficulty	MANUAL	6540132	84	89	RLG	easier
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	14276	almost.prep	1923	Proportional_quantity	MANUAL	6549286	0	5	KmG	Almost
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	14104	never.adv	80	Frequency	MANUAL	6549287	65	69	KmG	never
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	1325	seem.v	67	Give_impression	MANUAL	6549288	71	75	KmG	seems
195	23646	2	3	0	4100284	Almost every assignment is a challenge in a different way and it never seems to get easier .	16361	way.n	2563	Manner	MANUAL	6569460	54	56	MLC	way
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	null	null	null	null	UNANN	6538365	null	null	null	null
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	4343	get.v	179	Getting	MANUAL	6538529	26	28	KmG	get
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	10612	do.v	198	Intentionally_act	MANUAL	6538530	72	73	KmG	do
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	3381	amount.n	189	Quantified_mass	MANUAL	6538531	85	90	KmG	amount
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	11791	need.v	1375	Needing	MANUAL	6538533	151	154	KmG	need
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	7257	feel.v	396	Feeling	MANUAL	6538534	8	11	KmG	feel
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	14105	often.adv	80	Frequency	MANUAL	6549292	2	6	KmG	often
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	13239	feel.v	1412	Opinion	MANUAL	6549293	8	11	KmG	feel
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	5882	half.n	140	Part_whole	MANUAL	6549294	30	33	KmG	half
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	14109	sometimes.adv	80	Frequency	MANUAL	6549295	45	53	KmG	sometimes
195	23646	3	3	0	4100285	I often feel as if I only get half the story sometimes , so I typically do a massive amount of reporting that is most often much more than I will ever need .	14105	often.adv	80	Frequency	MANUAL	6549298	118	122	KmG	often
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	null	null	null	null	UNANN	6538366	null	null	null	null
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	11959	think.v	1412	Opinion	MANUAL	6538535	2	6	KmG	think
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	4348	do.v	230	Intentionally_affect	MANUAL	6538537	31	35	KmG	doing
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	5453	book.n	298	Text	MANUAL	6538538	39	42	KmG	book
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	10158	ability.n	990	Capability	MANUAL	6538539	64	70	KmG	ability
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	10619	use.v	1141	Using	MANUAL	6538540	75	77	KmG	use
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	10065	floor.n	971	Architectural_part	MANUAL	6538541	123	127	KmG	floor
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	1728	daily.a	80	Frequency	MANUAL	6538542	132	136	KmG	daily
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	4344	give.v	139	Giving	MANUAL	6540130	50	54	RLG	gives
195	23646	4	3	0	4100286	I think that is why I welcomed doing a book -- it gives one the ability to use so much of what is left on the cutting room floor of daily journalism .	3159	room.n	188	Building_subparts	MANUAL	6549315	118	121	KmG	room
195	23646	1	4	0	4100287	Think of all the good stuff we all collect daily in our reporting that we never add to stories .	null	null	null	null	UNANN	6538367	null	null	null	null
195	23646	1	4	0	4100287	Think of all the good stuff we all collect daily in our reporting that we never add to stories .	10867	think.v	22	Cogitation	MANUAL	6538543	0	4	KmG	Think
195	23646	1	4	0	4100287	Think of all the good stuff we all collect daily in our reporting that we never add to stories .	12424	collect.v	260	Gathering_up	MANUAL	6538545	35	41	KmG	collect
