corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23692	1	1	0	4101168	a brief History	null	null	null	null	UNANN	6541961	null	null	null	null
195	23692	1	1	0	4101168	a brief History	1712	brief.a	79	Duration_description	MANUAL	6558665	2	6	DYo	brief
195	23692	1	1	0	4101168	a brief History	15202	history.n	2113	History	MANUAL	6558666	8	14	DYo	History
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	null	null	null	null	UNANN	6541962	null	null	null	null
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	1535	see.v	70	Perception_experience	MANUAL	6542185	118	120	KmG	see
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	1302	look.v	66	Perception_active	MANUAL	6542186	68	71	KmG	look
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6542187	16	17	KmG	in
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	14198	modern.a	1895	Temporal_collocation	MANUAL	6549692	36	41	JKs	modern
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	14656	prehistoric.a	1895	Temporal_collocation	MANUAL	6551559	0	10	KmG	Prehistoric
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	10190	of.prep	1010	Partitive	MANUAL	6558668	143	144	DYo	of
195	23692	1	2	0	4101169	Prehistoric man in Asia Minor ( now modern Turkey ) or Greece could look out across the Aegean toward the horizon and see the faint silhouette of land .	15260	can.v	2120	Possibility	MANUAL	6683798	62	66	WMcQ	could
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	null	null	null	null	UNANN	6541963	null	null	null	null
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	4738	build.v	259	Building	MANUAL	6542189	31	35	KmG	build
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	13131	vessel.n	429	Vehicle	MANUAL	6542190	37	43	KmG	vessels
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	5981	enough.adv	342	Sufficiency	MANUAL	6542192	62	67	KmG	enough
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	12895	ford.v	1642	Intentional_traversing	MANUAL	6542193	72	75	KmG	ford
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	3498	sea.n	191	Natural_features	MANUAL	6542194	86	89	KmG	seas
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	4883	reach.v	54	Arriving	MANUAL	6542195	95	99	KmG	reach
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	3504	island.n	191	Natural_features	MANUAL	6542196	107	113	KmG	islands
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	13190	start.n	1470	Temporal_subregion	MANUAL	6542197	129	133	KmG	start
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	13915	long.a	79	Duration_description	MANUAL	6542198	142	145	KmG	long
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	13971	push.v	1083	Subjective_influence	MANUAL	6542205	16	21	KmG	pushed
195	23692	2	2	0	4101170	Their curiosity pushed them to build vessels that were strong enough to ford the open seas and reach these islands , marking the start of the long legacy of Mediterranean seafaring .	14662	mark.v	428	Sign	MANUAL	6552249	117	123	KmG	marking
195	23692	1	3	0	4101171	Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .	null	null	null	null	UNANN	6541964	null	null	null	null
195	23692	1	3	0	4101171	Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .	12931	set	1650	Setting_out	MANUAL	6542215	35	37	KmG	set
195	23692	1	3	0	4101171	Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .	12931	set	1650	Setting_out	MANUAL	6542215	39	41	RLG	out
195	23692	1	3	0	4101171	Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .	14083	now.adv	1895	Temporal_collocation	MANUAL	6543416	56	58	KmG	now
195	23692	1	3	0	4101171	Around 7000 b.c. , the Phoenicians set out from what is now Iran to explore their surroundings .	15026	explore.v	31	Scrutiny	MANUAL	6552230	68	74	KmG	explore
195	23692	2	3	0	4101172	They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .	null	null	null	null	UNANN	6541965	null	null	null	null
195	23692	2	3	0	4101172	They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .	4883	reach.v	54	Arriving	MANUAL	6542216	16	22	KmG	reached
195	23692	2	3	0	4101172	They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .	3504	island.n	191	Natural_features	MANUAL	6542217	28	34	KmG	islands
195	23692	2	3	0	4101172	They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .	11708	found.v	280	Intentionally_create	MANUAL	6542218	42	48	KmG	founded
195	23692	2	3	0	4101172	They eventually reached the islands , and founded colonies on the islands in the northernmost part of the Aegean Sea .	13576	colony.n	1794	Colonization	MANUAL	6542219	50	57	KmG	colonies
