corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23647	1	1	0	4100314	A Brief History	null	null	null	null	UNANN	6538394	null	null	null	null
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	null	null	null	null	UNANN	6538395	null	null	null	null
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	2656	begin.v	133	Process_start	MANUAL	6538680	30	35	KmG	begins
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	729	mention.n	43	Statement	MANUAL	6538682	46	52	KmG	mention
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	12625	court.n	1607	Judicial_body	MANUAL	6538683	66	70	KmG	court
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	9154	ago.idio	379	Time_vector	MANUAL	6538686	92	94	KmG	ago
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	10329	there	660	Existence	MANUAL	6538687	102	106	KmG	there
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	10329	there	660	Existence	MANUAL	6538687	112	115	KmG	been
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	11740	human.n	304	People	MANUAL	6538688	117	121	KmG	human
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	13498	settlement.n	196	Locale_by_use	MANUAL	6538689	123	133	KmG	settlements
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	3880	century.n	224	Measure_duration	MANUAL	6538690	144	152	KmG	centuries
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	10854	probably.adv	114	Likelihood	MANUAL	6538691	156	163	KmG	probably
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	6716	before.prep	379	Time_vector	MANUAL	6538693	177	182	KmG	before
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	15378	millennium.n	229	Calendric_unit	MANUAL	6675732	165	173	WMcQ	millennia
195	23647	1	2	0	4100315	Jerusalem 's recorded history begins with its mention in Egyptian court records 4,000 years ago , but there had been human settlements here for centuries , probably millennia , before that .	3878	year.n	224	Measure_duration	MANUAL	6675733	86	90	WMcQ	years
