corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23691	1	1	0	4101023	A Brief History	null	null	null	null	UNANN	6541816	null	null	null	null
195	23691	1	1	0	4101023	A Brief History	15202	history.n	2113	History	MANUAL	6558795	8	14	DYo	History
195	23691	1	1	0	4101023	A Brief History	1712	brief.a	79	Duration_description	MANUAL	6558796	2	6	DYo	Brief
195	23691	1	2	0	4101024	Early Habitation	null	null	null	null	UNANN	6541817	null	null	null	null
195	23691	1	2	0	4101024	Early Habitation	1747	early.a	81	Relative_time	MANUAL	6562536	0	4	MLC	Early
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	null	null	null	null	UNANN	6541818	null	null	null	null
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	3496	valley.n	191	Natural_features	MANUAL	6543631	39	44	KmG	Valley
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	3694	area.n	192	Locale	MANUAL	6543632	90	93	KmG	area
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	1635	cover.v	76	Distributed_position	MANUAL	6543633	99	105	KmG	covered
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	3411	lake.n	191	Natural_features	MANUAL	6543634	124	127	KmG	lake
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	14656	prehistoric.a	1895	Temporal_collocation	MANUAL	6551558	112	122	KmG	prehistoric
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	15202	history.n	2113	History	MANUAL	6558797	14	20	DYo	history
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	9742	stretch.v	725	Expansion	MANUAL	6558798	46	54	DYo	stretches
195	23691	1	3	0	4101025	The inhabited history of the Las Vegas Valley stretches to 23,000 b.c. , when much of the area was covered by a prehistoric lake .	14525	much.art	1923	Proportional_quantity	MANUAL	6558806	78	81	DYo	much
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	null	null	null	null	UNANN	6541819	null	null	null	null
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	8751	period.n	80	Frequency	MANUAL	6543635	12	17	KmG	period
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	12429	indigenous.a	1552	Indigenous_origin	MANUAL	6543636	25	34	KmG	indigenous
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	5511	people.n	304	People	MANUAL	6543637	36	41	KmG	people
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	2220	live.v	110	Residence	MANUAL	6543638	43	47	KmG	lived
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6543639	49	50	KmG	in
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	9143	gather.v	730	Come_together	MANUAL	6543640	85	92	KmG	gathered
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	14673	during.prep	1895	Temporal_collocation	MANUAL	6558807	0	5	DYo	During
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	3517	cave.n	191	Natural_features	MANUAL	6558808	52	56	DYo	caves
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	14766	hunt.v	2006	Hunting	MANUAL	6558809	60	66	DYo	hunting
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	14664	shoreline.n	1490	Relational_natural_features	UNANN	6558810	null	null	null	null
195	23691	2	3	0	4101026	During this period , the indigenous people lived in caves , hunting the mammals that gathered at the shoreline .	14664	shoreline.n	1490	Relational_natural_features	UNANN	6558810	101	109	DYo	shoreline
195	23691	3	3	0	4101027	The landscape of the valley changed dramatically over the next 200 centuries .	null	null	null	null	UNANN	6541820	null	null	null	null
195	23691	3	3	0	4101027	The landscape of the valley changed dramatically over the next 200 centuries .	3496	valley.n	191	Natural_features	MANUAL	6543641	21	26	KmG	valley
195	23691	3	3	0	4101027	The landscape of the valley changed dramatically over the next 200 centuries .	10802	change.v	1172	Undergo_change	MANUAL	6543642	28	34	KmG	changed
195	23691	3	3	0	4101027	The landscape of the valley changed dramatically over the next 200 centuries .	3880	century.n	224	Measure_duration	MANUAL	6543643	67	75	KmG	centuries
195	23691	4	3	0	4101028	The glaciers feeding the lake melted away and the lake evaporated .	null	null	null	null	UNANN	6541821	null	null	null	null
195	23691	4	3	0	4101028	The glaciers feeding the lake melted away and the lake evaporated .	3507	glacier.n	191	Natural_features	MANUAL	6543644	4	11	KmG	glaciers
195	23691	4	3	0	4101028	The glaciers feeding the lake melted away and the lake evaporated .	3411	lake.n	191	Natural_features	MANUAL	6543645	25	28	KmG	lake
195	23691	4	3	0	4101028	The glaciers feeding the lake melted away and the lake evaporated .	5954	melt.v	336	Change_of_phase	MANUAL	6543646	30	35	KmG	melted
195	23691	4	3	0	4101028	The glaciers feeding the lake melted away and the lake evaporated .	3411	lake.n	191	Natural_features	MANUAL	6543647	50	53	KmG	lake
