corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23757	1	1	0	4103989	Hong Kong and Its People	null	null	null	null	UNANN	6552801	null	null	null	null
195	23757	1	1	0	4103989	Hong Kong and Its People	5511	people.n	304	People	MANUAL	6559705	18	23	MLC	People
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	null	null	null	null	UNANN	6552802	null	null	null	null
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	6433	exciting.a	364	Stimulus_focus	MANUAL	6552840	0	7	JKs	Exciting
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	11231	word.n	1260	Simple_name	MANUAL	6552841	42	46	JKs	words
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	9803	describe.v	796	Communicate_categorization	MANUAL	6552842	53	61	JKs	described
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	14292	at	1923	Proportional_quantity	MANUAL	6552843	77	78	EGp	at
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	14292	at	1923	Proportional_quantity	MANUAL	6552843	80	84	EGp	least
195	23757	1	2	0	4103990	Exciting , mysterious , glamorous - these words have described Hong Kong for at least a century .	3880	century.n	224	Measure_duration	MANUAL	6552844	88	94	JKs	century
195	23757	2	2	0	4103991	With its vibrant atmosphere and night - and - day activity it is an intoxicating place .	null	null	null	null	UNANN	6552803	null	null	null	null
195	23757	2	2	0	4103991	With its vibrant atmosphere and night - and - day activity it is an intoxicating place .	4064	night.n	229	Calendric_unit	MANUAL	6552845	32	36	JKs	night
195	23757	2	2	0	4103991	With its vibrant atmosphere and night - and - day activity it is an intoxicating place .	3946	day.n	229	Calendric_unit	MANUAL	6552846	46	48	JKs	day
195	23757	2	2	0	4103991	With its vibrant atmosphere and night - and - day activity it is an intoxicating place .	10616	activity.n	198	Intentionally_act	MANUAL	6552847	50	57	JKs	activity
195	23757	2	2	0	4103991	With its vibrant atmosphere and night - and - day activity it is an intoxicating place .	3697	place.n	192	Locale	MANUAL	6552848	81	85	JKs	place
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	null	null	null	null	UNANN	6552804	null	null	null	null
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	4771	crowded.a	262	Abounding_with	MANUAL	6552849	13	19	JKs	crowded
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	2378	have.v	118	Possession	MANUAL	6552850	26	28	JKs	has
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	3843	one.num	218	Cardinal_numbers	MANUAL	6552851	30	32	JKs	one
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	10179	world.n	195	Political_locales	MANUAL	6552852	41	45	JKs	world
195	23757	3	2	0	4103992	Hong Kong is crowded - it has one of the world 's greatest population densities .	2926	population.n	103	Aggregate	MANUAL	6552853	59	68	JKs	population
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	null	null	null	null	UNANN	6552805	null	null	null	null
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	3843	one.num	218	Cardinal_numbers	MANUAL	6552854	32	34	JKs	one
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	9110	good.a	726	Usefulness	MANUAL	6552855	43	46	JKs	best
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	4771	crowded.a	262	Abounding_with	MANUAL	6552856	97	103	JKs	crowded
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	3697	place.n	192	Locale	MANUAL	6552857	105	109	JKs	place
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	1532	hear.v	70	Perception_experience	MANUAL	6552858	132	135	JKs	hear
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	7254	anger.n	46	Emotion_directed	MANUAL	6552859	154	158	JKs	anger
195	23757	4	2	0	4103993	But it is also efficient , with one of the best transportation systems anywhere , and for such a crowded place , quiet - you do n't hear voices raised in anger , motorists sitting on their horns , or loud boomboxes .	12637	system.n	1610	System	MANUAL	6553105	63	69	JKs	systems
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	null	null	null	null	UNANN	6552806	null	null	null	null
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	13921	shopping.n	1882	Shopping	MANUAL	6553106	0	7	JKs	Shopping
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	14104	never.adv	80	Frequency	MANUAL	6553107	9	13	JKs	never
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	4426	end.v	232	Process_end	MANUAL	6553108	15	18	JKs	ends
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	10329	there	660	Existence	MANUAL	6553109	22	26	EGp	there
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	10329	there	660	Existence	MANUAL	6553109	28	29	EGp	's
195	23757	5	2	0	4103994	Shopping never ends - there 's always another inviting spot just down the street .	13636	always.adv	80	Frequency	MANUAL	6553110	31	36	JKs	always
