corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23754	1	1	0	4103840	Jamaica and Its People	null	null	null	null	UNANN	6552647	null	null	null	null
195	23754	1	1	0	4103840	Jamaica and Its People	5511	people.n	304	People	MANUAL	6558815	16	21	AlK	People
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	null	null	null	null	UNANN	6552648	null	null	null	null
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	3504	island.n	191	Natural_features	MANUAL	6554758	4	9	KmG	island
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	15203	idyllic.a	354	Desirability	MANUAL	6554775	78	84	KmG	idyllic
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	15204	getaway.n	343	Travel	MANUAL	6554776	94	100	KmG	getaway
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	14577	top.a	1379	Occupy_rank	MANUAL	6558816	39	41	AlK	top
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	15204	getaway.n	343	Travel	MANUAL	6558818	94	100	AlK	getaway
195	23754	1	2	0	4103841	The island of Jamaica will be near the top of the list for anyone planning an idyllic holiday getaway .	17604	plan.v	2839	Making_arrangements	MANUAL	6772972	66	73	HPh	planning
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	null	null	null	null	UNANN	6552649	null	null	null	null
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	10372	warm.a	1052	Ambient_temperature	MANUAL	6554777	5	8	KmG	warm
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	14208	sunshine.n	303	Weather	MANUAL	6554783	10	17	KmG	sunshine
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	10206	beautiful.a	1016	Aesthetics	MANUAL	6554785	21	29	KmG	beautiful
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	7658	beach.n	191	Natural_features	MANUAL	6554786	31	37	KmG	beaches
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	6312	fine.a	354	Desirability	MANUAL	6554787	69	72	KmG	fine
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	3015	hotel.n	173	Buildings	MANUAL	6554788	74	79	KmG	hotels
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	13670	guaranteed.a	114	Likelihood	MANUAL	6554789	89	98	KmG	guaranteed
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	11673	provide.v	1346	Supply	MANUAL	6554790	103	109	KmG	provide
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	14733	a	189	Quantified_mass	MANUAL	6554791	111	111	EGp	a
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	14733	a	189	Quantified_mass	MANUAL	6554791	113	118	EGp	little
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	15205	rest.n	364	Stimulus_focus	MANUAL	6554795	120	123	KmG	rest
195	23754	2	2	0	4103842	With warm sunshine , beautiful beaches , lush tropical scenery , and fine hotels , it is guaranteed to provide a little rest and relaxation .	14355	relaxation.n	364	Stimulus_focus	MANUAL	6554801	129	138	KmG	relaxation
195	23754	3	2	0	4103843	However , with a vibrant grassroots culture and the growing confidence of an independent nation , it defies the advertising stereotype of the deserted island .	null	null	null	null	UNANN	6552650	null	null	null	null
195	23754	3	2	0	4103843	However , with a vibrant grassroots culture and the growing confidence of an independent nation , it defies the advertising stereotype of the deserted island .	15206	growing.a	91	Change_position_on_a_scale	MANUAL	6554815	52	58	KmG	growing
195	23754	3	2	0	4103843	However , with a vibrant grassroots culture and the growing confidence of an independent nation , it defies the advertising stereotype of the deserted island .	2749	confidence.n	141	Certainty	MANUAL	6554816	60	69	KmG	confidence
195	23754	3	2	0	4103843	However , with a vibrant grassroots culture and the growing confidence of an independent nation , it defies the advertising stereotype of the deserted island .	12775	nation.n	195	Political_locales	MANUAL	6554817	89	94	KmG	nation
195	23754	3	2	0	4103843	However , with a vibrant grassroots culture and the growing confidence of an independent nation , it defies the advertising stereotype of the deserted island .	3504	island.n	191	Natural_features	MANUAL	6554819	151	156	KmG	island
195	23754	4	2	0	4103844	Jamaica is not just a destination it is an experience .	null	null	null	null	UNANN	6552651	null	null	null	null
195	23754	4	2	0	4103844	Jamaica is not just a destination it is an experience .	10123	experience.n	70	Perception_experience	MANUAL	6554820	43	52	KmG	experience
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	null	null	null	null	UNANN	6552652	null	null	null	null
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	11251	third.a	1147	Ordinal_numbers	MANUAL	6554821	4	8	KmG	third
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	15769	large.a	2282	Size	MANUAL	6554830	12	18	KmG	largest
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	3504	island.n	191	Natural_features	MANUAL	6554831	20	25	KmG	island
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6554833	27	28	KmG	in
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	13839	south.n	215	Direction	MANUAL	6554836	51	55	KmG	south
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	2813	mile.n	154	Measure_linear_extent	MANUAL	6554838	91	95	KmG	miles
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	2197	length.n	108	Dimension	MANUAL	6554839	102	107	KmG	length
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	2813	mile.n	154	Measure_linear_extent	MANUAL	6554843	124	128	KmG	miles
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	2189	wide.a	108	Dimension	MANUAL	6554855	146	151	KmG	widest
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	6735	at.prep	199	Locative_relation	MANUAL	6554867	139	140	KmG	at
195	23754	1	3	0	4103845	The third - largest island in the Caribbean , just south of Cuba , Jamaica is 233 km ( 145 miles ) in length and 83 km ( 52 miles ) across at its widest point .	14526	point.n	192	Locale	MANUAL	6554868	153	157	KmG	point
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	null	null	null	null	UNANN	6552653	null	null	null	null
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	3504	island.n	191	Natural_features	MANUAL	6554869	4	9	KmG	island
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5329	wake.v	293	Cause_to_wake	MANUAL	6554870	75	79	KmG	wakes
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5875	eastern.a	143	Part_orientational	MANUAL	6554871	85	91	KmG	eastern
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5735	tip.n	143	Part_orientational	MANUAL	6554872	93	95	KmG	tip
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	12445	proceed.v	164	Activity_ongoing	MANUAL	6554876	99	106	KmG	proceeds
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	11005	caress.v	17	Manipulation	MANUAL	6554877	111	116	KmG	caress
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5867	length.n	328	Shapes	MANUAL	6554879	122	127	KmG	length
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	3504	island.n	191	Natural_features	MANUAL	6554886	136	141	KmG	island
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	11004	kiss.v	17	Manipulation	MANUAL	6554887	149	154	KmG	kisses
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5877	western.a	143	Part_orientational	MANUAL	6554888	160	166	KmG	western
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	5735	tip.n	143	Part_orientational	MANUAL	6554889	168	170	KmG	tip
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	4064	night.n	229	Calendric_unit	MANUAL	6554890	177	181	KmG	night
195	23754	2	3	0	4103846	The island is aligned almost east - to - west in the water so that sunrise wakes the eastern tip , proceeds to caress the length of the island , and kisses the western tip good night .	6287	good.a	354	Desirability	MANUAL	6554891	172	175	KmG	good
