corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23652	1	1	0	4100576	Dublin and the Dubliners	null	null	null	null	UNANN	6539575	null	null	null	null
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	null	null	null	null	UNANN	6539576	null	null	null	null
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	12489	economy.n	1572	Economy	MANUAL	6539677	39	45	KmG	economy
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	1325	seem.v	67	Give_impression	MANUAL	6539678	56	60	KmG	seems
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	10802	change.v	1172	Undergo_change	MANUAL	6539679	68	75	KmG	changing
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	2526	eye.n	119	Body_parts	MANUAL	6539680	94	97	KmG	eyes
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	13938	capital.n	1883	Relational_political_locales	MANUAL	6541666	3	9	KmG	capital
195	23652	1	2	0	4100577	As capital of Europe 's most explosive economy , Dublin seems to be changing before your very eyes .	14376	explosive.a	725	Expansion	MANUAL	6544068	29	37	KmG	explosive
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	null	null	null	null	UNANN	6539577	null	null	null	null
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	12563	new.a	972	Age	MANUAL	6539681	0	2	KmG	New
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	3775	street.n	203	Roadways	MANUAL	6539683	37	43	KmG	streets
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	13291	pace.n	966	Speed_description	MANUAL	6539684	108	111	KmG	pace
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	1325	seem.v	67	Give_impression	MANUAL	6539685	145	149	KmG	seems
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	3697	place.n	192	Locale	MANUAL	6539686	170	175	KmG	places
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	13806	intent.a	513	Purpose	MANUAL	6541387	151	156	CFB	intent
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	13836	increasingly.adv	91	Change_position_on_a_scale	MANUAL	6541415	63	74	RLG	increasingly
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	13862	change.v	1170	Exchange	MANUAL	6541455	161	168	KmG	changing
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6543481	135	136	KmG	in
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14102	everywhere.adv	199	Locative_relation	MANUAL	6543598	20	29	KmG	everywhere
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14157	buzz.v	1904	Lively_place	MANUAL	6543772	45	48	RLG	buzz
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14377	frenetic.a	1904	Lively_place	MANUAL	6544069	99	106	KmG	frenetic
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14391	rush	229	Calendric_unit	MANUAL	6544105	116	119	EGp	rush
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14391	rush	229	Calendric_unit	MANUAL	6544105	121	124	EGp	hour
195	23652	2	2	0	4100578	New construction is everywhere , the streets buzz , traffic is increasingly congested , and in the frenetic pace of rush hour everyone in Dublin seems intent on changing places with everyone else .	14474	construction	259	Building	MANUAL	6544165	4	15	KmG	construction
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	null	null	null	null	UNANN	6539578	null	null	null	null
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	4064	night.n	229	Calendric_unit	MANUAL	6539687	3	7	KmG	night
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	3775	street.n	203	Roadways	MANUAL	6539688	13	19	KmG	streets
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	4771	crowded.a	262	Abounding_with	MANUAL	6539689	25	31	KmG	crowded
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	5511	people.n	304	People	MANUAL	6539690	38	43	KmG	people
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	6287	good.a	354	Desirability	MANUAL	6539691	62	65	KmG	good
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	13805	bent.a	513	Purpose	MANUAL	6541389	45	48	CFB	bent
195	23652	3	2	0	4100579	At night the streets are crowded with people bent on having a good time .	14082	at.prep	1895	Temporal_collocation	MANUAL	6543398	0	1	KmG	At
195	23652	4	2	0	4100580	Prosperity is in the air ; the roar of the `` Celtic Tiger `` can clearly be heard .	null	null	null	null	UNANN	6539579	null	null	null	null
195	23652	4	2	0	4100580	Prosperity is in the air ; the roar of the `` Celtic Tiger `` can clearly be heard .	9682	roar.n	850	Sounds	MANUAL	6539692	31	34	KmG	roar
195	23652	4	2	0	4100580	Prosperity is in the air ; the roar of the `` Celtic Tiger `` can clearly be heard .	1532	hear.v	70	Perception_experience	MANUAL	6539693	77	81	KmG	heard
195	23652	4	2	0	4100580	Prosperity is in the air ; the roar of the `` Celtic Tiger `` can clearly be heard .	13852	prosperity.n	1771	Thriving	UNANN	6541390	null	null	null	null
