corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23642	1	1	0	4099920	Stephanopoulos Analyzes His Own Crime	null	null	null	null	UNANN	6537822	null	null	null	null
195	23642	1	1	0	4099920	Stephanopoulos Analyzes His Own Crime	11424	crime.n	700	Committing_crime	MANUAL	6549396	32	36	KmG	Crime
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	null	null	null	null	UNANN	6537823	null	null	null	null
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	8834	heartbroken.a	46	Emotion_directed	MANUAL	6538197	108	118	KmG	heartbroken
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	10843	evidence.n	25	Evidence	MANUAL	6538198	133	140	KmG	evidence
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	1599	president	73	Leadership	MANUAL	6538199	168	176	KmG	president
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	14589	there.adv	199	Locative_relation	MANUAL	6549398	0	4	KmG	There
195	23642	1	2	0	4099921	There was former Clinton aide George Stephanopoulos on ABC 's This Week this morning , furrow-browed and `` heartbroken with all the evidence coming out '' against the president .	14034	former.a	379	Time_vector	MANUAL	6549399	10	15	KmG	former
195	23642	2	2	0	4099922	Last week , when the Lewinsky story was only a few hours old , Stephanopoulos popped up on Good Morning America to demonstrate his concern .	null	null	null	null	UNANN	6537824	null	null	null	null
195	23642	2	2	0	4099922	Last week , when the Lewinsky story was only a few hours old , Stephanopoulos popped up on Good Morning America to demonstrate his concern .	3947	week.n	229	Calendric_unit	MANUAL	6538200	5	8	KmG	week
195	23642	2	2	0	4099922	Last week , when the Lewinsky story was only a few hours old , Stephanopoulos popped up on Good Morning America to demonstrate his concern .	3872	hour.n	224	Measure_duration	MANUAL	6538202	51	55	KmG	hours
195	23642	2	2	0	4099922	Last week , when the Lewinsky story was only a few hours old , Stephanopoulos popped up on Good Morning America to demonstrate his concern .	10071	old.a	972	Age	MANUAL	6538203	57	59	KmG	old
195	23642	2	2	0	4099922	Last week , when the Lewinsky story was only a few hours old , Stephanopoulos popped up on Good Morning America to demonstrate his concern .	10660	concern.n	46	Emotion_directed	MANUAL	6538322	131	137	KmG	concern
