corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23758	1	1	0	4104028	What to Do Shopping	null	null	null	null	UNANN	6552860	null	null	null	null
195	23758	1	2	0	4104029	Inflation has taken its toll in Hong Kong .	null	null	null	null	UNANN	6552861	null	null	null	null
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	null	null	null	null	UNANN	6552862	null	null	null	null
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	15431	while.scon	2150	Concessive	MANUAL	6584610	0	4	MLC	While
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	14368	no	1895	Temporal_collocation	MANUAL	6584611	15	20	MLC	longer
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	13921	shopping.n	1882	Shopping	MANUAL	6584612	34	41	MLC	shopping
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	10329	there	660	Existence	MANUAL	6584614	75	77	MLC	are
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	13044	still.adv	1594	Continued_state_of_affairs	MANUAL	6584615	79	83	MLC	still
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	14290	some.art	1923	Proportional_quantity	MANUAL	6584616	85	88	MLC	some
195	23758	2	2	0	4104030	While it 's no longer the bargain shopping destination it once was , there are still some good buys to be had .	15401	once.adv	2140	Event_instance	MANUAL	6584633	58	61	MLC	once
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	null	null	null	null	UNANN	6552863	null	null	null	null
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	13417	since.c	5	Causation	MANUAL	6584617	0	4	MLC	Since
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	15331	port.n	196	Locale_by_use	MANUAL	6584618	33	36	MLC	port
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	8745	sale.n	172	Commerce_sell	MANUAL	6584620	53	57	MLC	sales
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	2899	goods.n	82	Commerce_scenario	MANUAL	6584621	65	69	MLC	goods
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	1773	cheap.a	83	Expensiveness	MANUAL	6584622	75	81	MLC	cheaper
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	14175	here.adv	199	Locative_relation	MANUAL	6584623	83	86	MLC	here
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	3683	country.n	195	Political_locales	MANUAL	6584624	100	106	MLC	country
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	13318	where.adv	199	Locative_relation	MANUAL	6584625	108	112	MLC	where
195	23758	3	2	0	4104031	Since Hong Kong is a duty - free port and charges no sales tax , goods are cheaper here than in the country where they were made .	7526	make.v	408	Manufacturing	MANUAL	6584626	124	127	MLC	made
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	null	null	null	null	UNANN	6552864	null	null	null	null
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	2206	equipment.n	106	Gizmo	MANUAL	6584627	16	24	MLC	equipment
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	2899	goods.n	82	Commerce_scenario	MANUAL	6584628	39	43	MLC	goods
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	3612	watch.n	158	Accoutrements	MANUAL	6584629	51	57	MLC	watches
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	4993	avoid.v	274	Avoiding	MANUAL	6584630	65	69	MLC	avoid
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	13146	home.n	1483	Foreign_or_domestic_country	MANUAL	6584631	102	105	MLC	home
195	23758	4	2	0	4104032	On photographic equipment , electronic goods , and watches , you avoid the luxury tax payable in your home country .	3683	country.n	195	Political_locales	MANUAL	6584632	107	113	MLC	country
195	23758	1	3	0	4104033	Specialty goods and souvenirs , often handmade , come from Hong Kong and elsewhere in China .	null	null	null	null	UNANN	6552865	null	null	null	null
