corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	25398	1	1	0	4155540	'' WE HAVE SOME PLANES ''	null	null	null	null	UNANN	6654643	null	null	null	null
195	25398	1	2	0	4155541	Tuesday, September 11, 2001 , dawned temperate and nearly cloudless in the eastern United States .	null	null	null	null	UNANN	6654644	null	null	null	null
195	25398	2	2	0	4155542	Millions of men and women readied themselves for work .	null	null	null	null	UNANN	6654645	null	null	null	null
195	25398	3	2	0	4155543	Some made their way to the Twin Towers , the signature structures of the World Trade Center complex in New York City .	null	null	null	null	UNANN	6654646	null	null	null	null
195	25398	4	2	0	4155544	Others went to Arlington , Virginia , to the Pentagon .	null	null	null	null	UNANN	6654647	null	null	null	null
195	25398	5	2	0	4155545	Across the Potomac River , the United States Congress was back in session .	null	null	null	null	UNANN	6654648	null	null	null	null
195	25398	6	2	0	4155546	At the other end of Pennsylvania Avenue , people began to line up for a White House tour .	null	null	null	null	UNANN	6654649	null	null	null	null
195	25398	7	2	0	4155547	In Sarasota , Florida , President George W. Bush went for an early morning run .	null	null	null	null	UNANN	6654650	null	null	null	null
195	25398	1	3	0	4155548	For those heading to an airport , weather conditions could not have been better for a safe and pleasant journey .	null	null	null	null	UNANN	6654651	null	null	null	null
195	25398	2	3	0	4155549	Among the travelers were Mohamed Atta and Abdul Aziz al Omari , who arrived at the airport in Portland , Maine .	null	null	null	null	UNANN	6654652	null	null	null	null
195	25398	1	4	0	4155550	INSIDE THE FOUR FLIGHTS	null	null	null	null	UNANN	6654653	null	null	null	null
195	25398	1	5	0	4155551	Boarding the Flights	null	null	null	null	UNANN	6654654	null	null	null	null
195	25398	1	6	0	4155552	Boston : American 11 and United 175 .	null	null	null	null	UNANN	6654655	null	null	null	null
195	25398	2	6	0	4155553	Atta and Omari boarded a 6:00 A.M. flight from Portland to Boston 's Logan International Airport .	null	null	null	null	UNANN	6654656	null	null	null	null
195	25398	1	7	0	4155554	When he checked in for his flight to Boston , Atta was selected by a computerized prescreening system known as CAPPS ( Computer Assisted Passenger Prescreening System ) , created to identify passengers who should be subject to special security measures .	null	null	null	null	UNANN	6654657	null	null	null	null
195	25398	2	7	0	4155555	Under security rules in place at the time , the only consequence of Atta 's selection by CAPPS was that his checked bags were held off the plane until it was confirmed that he had boarded the aircraft .	null	null	null	null	UNANN	6654658	null	null	null	null
195	25398	2	7	0	4155555	Under security rules in place at the time , the only consequence of Atta 's selection by CAPPS was that his checked bags were held off the plane until it was confirmed that he had boarded the aircraft .	17433	aircraft.n	429	Vehicle	MANUAL	6655753	192	199	WMcQ	aircraft
195	25398	3	7	0	4155556	This did not hinder Atta 's plans .	null	null	null	null	UNANN	6654659	null	null	null	null
