corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
195	23936	1	1	0	4112786	Kofi Annan , the Secretary-General of the United Nations , recently called attention to the clear inequalities in science between developing and developed countries and to the challenges of building bridges across these gaps that should bring the United Nations and the world scientific community closer to each other ( Annan 2003 ) .	null	null	null	null	UNANN	6573014	null	null	null	null
195	23936	2	1	0	4112787	Mr . Annan stressed the importance of reducing the inequalities in science between developed and developing countries , asserting that “This unbalanced distribution of scientific activity generates serious problems not only for the scientific community in the developing countries , but for development itself . ” Indeed , Mr . Annan 's sentiments have also been echoed recently by several scientists , who present overwhelming evidence for the disparity in scientific output between the developing and already developed countries ( Gibbs 1995 ; May 1997 ; Goldemberg 1998 ; Riddoch 2000 ) .	null	null	null	null	UNANN	6573015	null	null	null	null
195	23936	3	1	0	4112788	For example , recent United Nations Educational, Scientific, and Cultural Organization ( UNESCO ) estimates ( UNESCO 2001 ) indicate that , in 1997 , the developed countries accounted for some 84% of the global investment in scientific research and development , had approximately 72% of the world researchers , and produced approximately 88% of all scientific and technical publications registered by the Science Citation Index ( SCI ) .	null	null	null	null	UNANN	6573016	null	null	null	null
195	23936	4	1	0	4112789	North America and Europe clearly dominate the number of scientific publications produced annually , with 36.6% and 37.5% , respectively , worldwide ( UNESCO 2001 ) .	null	null	null	null	UNANN	6573017	null	null	null	null
195	23936	1	2	0	4112790	North America and Europe clearly dominate the number of scientific publications produced annually .	null	null	null	null	UNANN	6573018	null	null	null	null
195	23936	1	3	0	4112791	It is rather obvious that richer countries are able to invest more resources in science and therefore account for the largest number of publications .	null	null	null	null	UNANN	6573019	null	null	null	null
195	23936	2	3	0	4112792	It is also likely that there is a statistical bias on the part of the SCI as a bibliometric database , since it represents North American and European publications far better than those of the rest of the world ( Gibbs 1995 ; May 1997 ; Alonso and Fernández-Juricic 2001 ; Vohora and Vohora 2001 ) .	null	null	null	null	UNANN	6573020	null	null	null	null
195	23936	3	3	0	4112793	But is the disparity in scientific contributions between the developed and developing worlds actually remaining unchanged or even increasing , as Mr . Annan has implied ?	null	null	null	null	UNANN	6573021	null	null	null	null
195	23936	4	3	0	4112794	A closer look at the trends over the last decade reveals important advances in developing countries .	null	null	null	null	UNANN	6573022	null	null	null	null
195	23936	5	3	0	4112795	For example , Latin America and China , although representing , respectively , only 1.8% and 2% of scientific publications worldwide , have increased the number of their publications between 1990 and 1997 by 36% and 70% , respectively , which is a much higher percentage than the increments reached by Europe ( 10% ) and industrial Asia ( 26% ) .	null	null	null	null	UNANN	6573023	null	null	null	null
195	23936	6	3	0	4112796	The percentage of global scientific publications from North America actually decreased by 8% over the same period ( UNESCO 2001 ) .	null	null	null	null	UNANN	6573024	null	null	null	null
195	23936	1	4	0	4112797	Publishing Trends in the Americas	null	null	null	null	UNANN	6573025	null	null	null	null
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	null	null	null	null	UNANN	6573026	null	null	null	null
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	10619	use.v	1141	Using	MANUAL	6573973	0	4	CVa	Using
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	11694	produce.v	280	Intentionally_create	MANUAL	6573975	24	31	CVa	produced
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	12687	data.n	1591	Information	MANUAL	6573977	98	101	CVa	data
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	10853	difference	481	Similarity	MANUAL	6573979	205	215	CVa	differences
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	16292	publication.n	298	Text	MANUAL	6573981	260	271	CVa	publications
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	11651	developed.a	1341	Stage_of_progress	MANUAL	6573982	285	293	CVa	developed
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	10179	world.n	195	Political_locales	MANUAL	6573983	295	299	CVa	world
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	10179	world.n	195	Political_locales	MANUAL	6573984	320	324	CVa	world
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	12483	focus.v	1542	Emphasizing	MANUAL	6573986	349	356	CVa	focusing
195	23936	1	5	0	4112798	Using the SCI databases produced by the Institute for Scientific Information ( ISI ) , as well as data compiled by the Red Iberoamericana de Indicadores de Ciencia y Tecnología ( RICYT ) , we examined the differences in the number and proportion of scientific publications between the developed world and the developing world from 1990 until 2000 , focusing on the Americas as a case study .	13770	institute.n	196	Locale_by_use	MANUAL	6579654	40	48	CVa	Institute
