corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23580	1	1	0	4099001	ID: MIT -1 .	null	null	null	null	UNANN	6531742	null	null	null	null
185	23580	2	1	0	4099006	City workers pretended to be victims of the attack .	null	null	null	null	UNANN	6531747	null	null	null	null
185	23580	2	1	0	4099006	City workers pretended to be victims of the attack .	7745	attack.n	424	Attack	MANUAL	6532171	44	49	JKR	attack
185	23580	2	1	0	4099006	City workers pretended to be victims of the attack .	10204	city.n	196	Locale_by_use	MANUAL	6532173	0	3	JKR	City
185	23580	3	1	0	4099007	QN : Were the city workers harmed by the attack ?	null	null	null	null	UNANN	6531748	null	null	null	null
185	23580	3	1	0	4099007	QN : Were the city workers harmed by the attack ?	10204	city.n	196	Locale_by_use	MANUAL	6532174	14	17	JKR	city
185	23580	3	1	0	4099007	QN : Were the city workers harmed by the attack ?	7745	attack.n	424	Attack	MANUAL	6532175	41	46	JKR	attack
185	23580	1	2	0	4099008	ID: MIT -2 .	null	null	null	null	UNANN	6531749	null	null	null	null
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	null	null	null	null	UNANN	6531750	null	null	null	null
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	8394	contract.n	560	Documents	MANUAL	6532177	57	64	JKR	contract
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	7518	manufacture.v	408	Manufacturing	MANUAL	6532178	69	79	JKR	manufacture
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	11462	test.v	1301	Operational_testing	MANUAL	6532185	83	86	JKR	test
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	683	announce.v	43	Statement	MANUAL	6532188	141	149	JKR	announced
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	11113	company.n	365	Businesses	MANUAL	6532190	129	135	JKR	company
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	2440	bottle.v	62	Placing	MANUAL	6532192	90	95	JKR	bottle
185	23580	2	2	0	4099009	The Defense Department has awarded BioPort Corporation a contract to manufacture , test , bottle and store anthrax vaccine , the company has announced .	12426	store.v	1550	Storing	MANUAL	6532194	101	105	JKR	store
185	23580	3	2	0	4099010	QN : Does the Defense Department want BioPort Corporation to manufacture anthrax vaccine ?	null	null	null	null	UNANN	6531751	null	null	null	null
185	23580	3	2	0	4099010	QN : Does the Defense Department want BioPort Corporation to manufacture anthrax vaccine ?	6412	want.v	366	Desiring	MANUAL	6532195	33	36	JKR	want
185	23580	3	2	0	4099010	QN : Does the Defense Department want BioPort Corporation to manufacture anthrax vaccine ?	7518	manufacture.v	408	Manufacturing	MANUAL	6532199	61	71	JKR	manufacture
185	23580	1	3	0	4099011	ID: MIT -3 .	null	null	null	null	UNANN	6531752	null	null	null	null
185	23580	2	3	0	4099012	Chemical weapon projectiles contain a blasting tube which can be seen in an X-ray .	null	null	null	null	UNANN	6531753	null	null	null	null
185	23580	2	3	0	4099012	Chemical weapon projectiles contain a blasting tube which can be seen in an X-ray .	10635	chemical	426	Weapon	MANUAL	6532200	0	7	EGp	Chemical
185	23580	2	3	0	4099012	Chemical weapon projectiles contain a blasting tube which can be seen in an X-ray .	10635	chemical	426	Weapon	MANUAL	6532200	9	14	EGp	weapon
185	23580	2	3	0	4099012	Chemical weapon projectiles contain a blasting tube which can be seen in an X-ray .	7296	contain.v	397	Containing	MANUAL	6532201	28	34	JKR	contain
185	23580	2	3	0	4099012	Chemical weapon projectiles contain a blasting tube which can be seen in an X-ray .	1535	see.v	70	Perception_experience	MANUAL	6532203	65	68	JKR	seen
185	23580	3	3	0	4099013	QN : Is the blasting tube visible outside the projectile ?	null	null	null	null	UNANN	6531754	null	null	null	null
185	23580	3	3	0	4099013	QN : Is the blasting tube visible outside the projectile ?	12123	visible.a	1360	Obviousness	MANUAL	6532206	26	32	JKR	visible
185	23580	1	4	0	4099014	ID: MIT -4 .	null	null	null	null	UNANN	6531755	null	null	null	null
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	null	null	null	null	UNANN	6531756	null	null	null	null
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	9062	shooting.n	590	Killing	MANUAL	6532210	36	43	JKR	shooting
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	11251	third.a	1147	Ordinal_numbers	MANUAL	6532213	30	34	JKR	third
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	3947	week.n	229	Calendric_unit	MANUAL	6532224	55	59	JKR	weeks
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	10652	nuclear	426	Weapon	MANUAL	6532226	71	77	EGp	nuclear
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	10652	nuclear	426	Weapon	MANUAL	6532226	79	85	EGp	weapons
185	23580	2	4	0	4099015	The incident at Mayak was the third shooting in recent weeks involving nuclear weapons or facilities in Russia .	10662	facility.n	196	Locale_by_use	MANUAL	6532227	90	99	JKR	facilities
185	23580	3	4	0	4099016	QN : Did the incident at Mayak involve nuclear weapons or facilities ?	null	null	null	null	UNANN	6531757	null	null	null	null
185	23580	3	4	0	4099016	QN : Did the incident at Mayak involve nuclear weapons or facilities ?	10652	nuclear	426	Weapon	MANUAL	6532230	39	45	EGp	nuclear
