corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23574	1	1	0	4098183	ID:lcch_0001 .	null	null	null	null	UNANN	6530924	null	null	null	null
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	null	null	null	null	UNANN	6530925	null	null	null	null
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	748	report.v	43	Statement	MANUAL	6531949	39	46	MJE	reported
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10644	secret.a	1145	Secrecy_status	MANUAL	6531950	59	64	MJE	secret
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	12504	deal.n	1380	Be_in_agreement_on_action	MANUAL	6531951	86	89	MJE	deal
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11672	supply.v	1346	Supply	MANUAL	6531952	129	134	MJE	supply
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	8181	ban.v	521	Prohibiting_or_licensing	MANUAL	6531953	136	141	MJE	banned
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10619	use.v	1141	Using	MANUAL	6531954	153	156	MJE	used
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	7518	manufacture.v	408	Manufacturing	MANUAL	6531955	161	171	MJE	manufacture
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11601	gas.n	1321	Substance	MANUAL	6531956	180	182	MJE	gas
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10753	poison.n	1163	Toxic_substance	MANUAL	6531957	173	178	MJE	poison
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	12182	government.n	73	Leadership	MANUAL	6531958	107	116	MJE	government
185	23574	2	1	0	4098184	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11684	material.n	1348	Ingredients	MANUAL	6533407	143	151	MJE	materials
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	null	null	null	null	UNANN	6530926	null	null	null	null
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	12504	deal.n	1380	Be_in_agreement_on_action	MANUAL	6531959	10	13	MJE	deal
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	4738	build.v	259	Building	MANUAL	6531960	28	32	MJE	build
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11606	chemical.n	1321	Substance	MANUAL	6531961	49	56	MJE	chemical
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11435	plant.n	196	Locale_by_use	MANUAL	6531962	58	62	MJE	plant
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10619	use.v	1141	Using	MANUAL	6531963	90	93	MJE	used
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	7523	produce.v	408	Manufacturing	MANUAL	6531964	95	101	MJE	produce
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11606	chemical.n	1321	Substance	MANUAL	6531965	141	148	MJE	chemical
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10156	can.v	990	Capability	MANUAL	6531966	155	159	MJE	could
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10635	chemical	426	Weapon	MANUAL	6531967	180	187	EGp	chemical
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10635	chemical	426	Weapon	MANUAL	6531967	189	195	EGp	weapons
185	23574	3	1	0	4098185	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	7523	produce.v	408	Manufacturing	MANUAL	6533406	172	178	MJE	produce
185	23574	4	1	0	4098186	QN : Has India built dual-use chemical production plants in Iran ?	null	null	null	null	UNANN	6530927	null	null	null	null
185	23574	4	1	0	4098186	QN : Has India built dual-use chemical production plants in Iran ?	4738	build.v	259	Building	MANUAL	6531968	15	19	MJE	built
185	23574	4	1	0	4098186	QN : Has India built dual-use chemical production plants in Iran ?	11435	plant.n	196	Locale_by_use	MANUAL	6531969	50	55	MJE	plants
185	23574	4	1	0	4098186	QN : Has India built dual-use chemical production plants in Iran ?	11441	production.n	408	Manufacturing	MANUAL	6531971	39	48	MJE	production
185	23574	4	1	0	4098186	QN : Has India built dual-use chemical production plants in Iran ?	11606	chemical.n	1321	Substance	MANUAL	6531972	30	37	MJE	chemical
185	23574	1	2	0	4098187	ID:lcch_0002 .	null	null	null	null	UNANN	6530928	null	null	null	null
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	null	null	null	null	UNANN	6530929	null	null	null	null
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	748	report.v	43	Statement	MANUAL	6533452	39	46	Hay	reported
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10644	secret.a	1145	Secrecy_status	MANUAL	6533453	59	64	Hay	secret
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	12504	deal.n	1380	Be_in_agreement_on_action	MANUAL	6533454	86	89	Hay	deal
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11672	supply.v	1346	Supply	MANUAL	6533455	129	134	Hay	supply
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	8181	ban.v	521	Prohibiting_or_licensing	MANUAL	6533456	136	141	Hay	banned
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10619	use.v	1141	Using	MANUAL	6533457	153	156	Hay	used
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	7518	manufacture.v	408	Manufacturing	MANUAL	6533458	161	171	Hay	manufacture
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11601	gas.n	1321	Substance	MANUAL	6533459	180	182	Hay	gas
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	10753	poison.n	1163	Toxic_substance	MANUAL	6533460	173	178	Hay	poison
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	12182	government.n	73	Leadership	MANUAL	6533461	107	116	Hay	government
185	23574	2	2	0	4098188	On 23 June 1996 , the Sunday Telegraph reported about a `` secret multi-million-pound deal with the Indian government which will supply banned materials used to manufacture poison gas . ''	11684	material.n	1348	Ingredients	MANUAL	6533462	143	151	Hay	materials
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	null	null	null	null	UNANN	6530930	null	null	null	null
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	12504	deal.n	1380	Be_in_agreement_on_action	MANUAL	6533463	10	13	Hay	deal
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	4738	build.v	259	Building	MANUAL	6533464	28	32	Hay	build
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11606	chemical.n	1321	Substance	MANUAL	6533465	49	56	Hay	chemical
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11435	plant.n	196	Locale_by_use	MANUAL	6533466	58	62	Hay	plant
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10619	use.v	1141	Using	MANUAL	6533467	90	93	Hay	used
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	7523	produce.v	408	Manufacturing	MANUAL	6533468	95	101	Hay	produce
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	11606	chemical.n	1321	Substance	MANUAL	6533469	141	148	Hay	chemical
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10156	can.v	990	Capability	MANUAL	6533470	155	159	Hay	could
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10635	chemical	426	Weapon	MANUAL	6533471	180	187	EGp	chemical
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	10635	chemical	426	Weapon	MANUAL	6533471	189	195	EGp	weapons
185	23574	3	2	0	4098189	Under the deal , India will build a sophisticate chemical plant at Qazvin , which will be used produce phosphorous pentasulfide , a dual-use chemical that could be used to produce chemical weapons .	7523	produce.v	408	Manufacturing	MANUAL	6533472	172	178	Hay	produce
185	23574	4	2	0	4098190	QN : What dual-use chemical will be produced at the Indian-Iranian joint venture at Qazvin ?	null	null	null	null	UNANN	6530931	null	null	null	null
185	23574	4	2	0	4098190	QN : What dual-use chemical will be produced at the Indian-Iranian joint venture at Qazvin ?	11606	chemical.n	1321	Substance	MANUAL	6531994	19	26	MJE	chemical
185	23574	4	2	0	4098190	QN : What dual-use chemical will be produced at the Indian-Iranian joint venture at Qazvin ?	7523	produce.v	408	Manufacturing	MANUAL	6531995	36	43	MJE	produced
185	23574	1	3	0	4099202	ID:lcch_0003 .	null	null	null	null	UNANN	6532009	null	null	null	null
185	23574	2	3	0	4099203	In January - February 1997 , China supplied Iran with 40,000 barrels of calcium hypochlorite , a chemical-biological-radiological decontamination agent .	null	null	null	null	UNANN	6532010	null	null	null	null
185	23574	2	3	0	4099203	In January - February 1997 , China supplied Iran with 40,000 barrels of calcium hypochlorite , a chemical-biological-radiological decontamination agent .	11672	supply.v	1346	Supply	MANUAL	6532012	35	42	MJE	supplied
185	23574	2	3	0	4099203	In January - February 1997 , China supplied Iran with 40,000 barrels of calcium hypochlorite , a chemical-biological-radiological decontamination agent .	2827	barrel.n	155	Measure_volume	MANUAL	6532013	61	67	MJE	barrels
185	23574	2	3	0	4099203	In January - February 1997 , China supplied Iran with 40,000 barrels of calcium hypochlorite , a chemical-biological-radiological decontamination agent .	11608	agent.n	1322	Active_substance	MANUAL	6532014	146	150	MJE	agent
185	23574	3	3	0	4099204	QN : Has China provided Iran with decontamination materials ?	null	null	null	null	UNANN	6532011	null	null	null	null
185	23574	3	3	0	4099204	QN : Has China provided Iran with decontamination materials ?	11673	provide.v	1346	Supply	MANUAL	6532015	15	22	MJE	provided
185	23574	3	3	0	4099204	QN : Has China provided Iran with decontamination materials ?	11726	material.n	1321	Substance	MANUAL	6532016	50	58	MJE	materials
185	23574	1	4	0	4098193	ID:lcch_0004 .	null	null	null	null	UNANN	6530934	null	null	null	null
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	null	null	null	null	UNANN	6530935	null	null	null	null
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	5435	continue.v	164	Activity_ongoing	MANUAL	6531996	5	13	MJE	continues
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	18238	deny.v	2974	Affirm_or_deny	MANUAL	6531997	18	21	MJE	deny
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	681	allegation.n	43	Statement	MANUAL	6531998	27	37	MJE	allegations
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	10724	program.n	1158	Project	MANUAL	6531999	84	90	MJE	program
185	23574	2	4	0	4098194	Iran continues to deny any allegations that it is actively pursuing an offensive CW program .	13750	offensive.a	424	Attack	MANUAL	6540819	71	79	KmG	offensive
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	null	null	null	null	UNANN	6530936	null	null	null	null
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	11420	authority.n	73	Leadership	MANUAL	6532001	116	126	MJE	authorities
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	11808	government.n	1371	Organization	MANUAL	6532002	105	114	MJE	government
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	10156	can.v	990	Capability	MANUAL	6532003	128	132	MJE	could
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	7116	duty.n	392	Being_obligated	MANUAL	6532004	168	173	MJE	duties
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	8003	obligation.n	392	Being_obligated	MANUAL	6532005	179	189	MJE	obligations
185	23574	3	4	0	4098195	In 1996 , it held the first regional seminar on the national implementation of the CWC in Tehran so that government authorities could familiarize themselves with their duties and obligations under the treaty .	11815	treaty.n	1380	Be_in_agreement_on_action	MANUAL	6532006	201	206	MJE	treaty
185	23574	4	4	0	4098196	QN : Has Iran denied developing CW ?	null	null	null	null	UNANN	6530937	null	null	null	null
185	23574	4	4	0	4098196	QN : Has Iran denied developing CW ?	18238	deny.v	2974	Affirm_or_deny	MANUAL	6532007	14	19	MJE	denied
185	23574	4	4	0	4098196	QN : Has Iran denied developing CW ?	11731	develop.v	1349	Cause_to_make_progress	MANUAL	6532008	21	30	MJE	developing
185	23574	1	5	0	4099205	ID:lcch_0005 .	null	null	null	null	UNANN	6532018	null	null	null	null
185	23574	2	5	0	4099206	Being one of the few countries in the world that has experienced chemical warfare ( CW ) on the battlefield , Iran ratified the Chemical Weapons Convention in 1997 .	null	null	null	null	UNANN	6532019	null	null	null	null
185	23574	2	5	0	4099206	Being one of the few countries in the world that has experienced chemical warfare ( CW ) on the battlefield , Iran ratified the Chemical Weapons Convention in 1997 .	3683	country.n	195	Political_locales	MANUAL	6532743	21	29	MJE	countries
185	23574	2	5	0	4099206	Being one of the few countries in the world that has experienced chemical warfare ( CW ) on the battlefield , Iran ratified the Chemical Weapons Convention in 1997 .	11600	warfare.n	93	Hostile_encounter	MANUAL	6532745	74	80	MJE	warfare
185	23574	2	5	0	4099206	Being one of the few countries in the world that has experienced chemical warfare ( CW ) on the battlefield , Iran ratified the Chemical Weapons Convention in 1997 .	11760	ratify.v	1351	Ratification	MANUAL	6532746	115	122	MJE	ratified
185	23574	3	5	0	4099207	QN : Is Iran a signatory to the Chemical Weapons Convention ( CWC ) ?	null	null	null	null	UNANN	6532020	null	null	null	null
185	23574	3	5	0	4099207	QN : Is Iran a signatory to the Chemical Weapons Convention ( CWC ) ?	10683	signatory.n	1151	Sign_agreement	MANUAL	6532747	15	23	MJE	signatory
185	23574	1	6	0	4098199	ID:lcch_0006a .	null	null	null	null	UNANN	6530940	null	null	null	null
185	23574	2	6	0	4098200	Desperate for hard currency to prop up its sickly regime , North Korea has demanded $1 billion a year from America to end its destabilising missile sales to countries such as Iran , Syria , Libya , Egypt and Pakistan .	null	null	null	null	UNANN	6530941	null	null	null	null
185	23574	2	6	0	4098200	Desperate for hard currency to prop up its sickly regime , North Korea has demanded $1 billion a year from America to end its destabilising missile sales to countries such as Iran , Syria , Libya , Egypt and Pakistan .	10680	end.v	1149	Cause_to_end	MANUAL	6532028	118	120	MJE	end
185	23574	2	6	0	4098200	Desperate for hard currency to prop up its sickly regime , North Korea has demanded $1 billion a year from America to end its destabilising missile sales to countries such as Iran , Syria , Libya , Egypt and Pakistan .	8745	sale.n	172	Commerce_sell	MANUAL	6532029	148	152	MJE	sales
185	23574	2	6	0	4098200	Desperate for hard currency to prop up its sickly regime , North Korea has demanded $1 billion a year from America to end its destabilising missile sales to countries such as Iran , Syria , Libya , Egypt and Pakistan .	3683	country.n	195	Political_locales	MANUAL	6532030	157	165	MJE	countries
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	null	null	null	null	UNANN	6530942	null	null	null	null
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	644	demand.n	41	Request	MANUAL	6532031	5	10	MJE	demand
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	11728	launch.n	289	Shoot_projectiles	MANUAL	6532032	95	102	MJE	launches
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	11699	aid	391	Assistance	MANUAL	6532033	118	120	MJE	aid
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	12504	deal.n	1380	Be_in_agreement_on_action	MANUAL	6532035	142	145	MJE	deal
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	11042	verify.v	1230	Verification	MANUAL	6532037	183	188	MJE	verify
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	7508	key.a	407	Importance	MANUAL	6532038	162	164	MJE	key
185	23574	3	6	0	4098201	That demand was reportedly knocked down by the Clinton administration to a series of satellite launches and some food aid , but the potential deal still lacked a key component-how to verify that North Korea was honouring the bargain-when the Clinton team ran out of time .	12694	honor.v	117	Compliance	MANUAL	6532039	211	219	MJE	honouring
