corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23575	1	1	0	4098323	ID: PARC -1 .	null	null	null	null	UNANN	6531064	null	null	null	null
185	23575	2	1	0	4098324	Some students came to school by car .	null	null	null	null	UNANN	6531065	null	null	null	null
185	23575	2	1	0	4098324	Some students came to school by car .	941	come.v	54	Arriving	MANUAL	6533223	14	17	MJE	came
185	23575	3	1	0	4098325	QN : Did any students come to school ?	null	null	null	null	UNANN	6531066	null	null	null	null
185	23575	3	1	0	4098325	QN : Did any students come to school ?	941	come.v	54	Arriving	MANUAL	6533224	22	25	MJE	come
185	23575	1	2	0	4098326	ID: PARC -2 .	null	null	null	null	UNANN	6531067	null	null	null	null
185	23575	2	2	0	4098327	No students came to school by car .	null	null	null	null	UNANN	6531068	null	null	null	null
185	23575	3	2	0	4098328	QN : Did any students come to school ?	null	null	null	null	UNANN	6531069	null	null	null	null
185	23575	3	2	0	4098328	QN : Did any students come to school ?	941	come.v	54	Arriving	MANUAL	6533514	22	25	Hay	come
185	23575	1	3	0	4098329	ID: PARC -3 .	null	null	null	null	UNANN	6531070	null	null	null	null
185	23575	2	3	0	4098330	Ed drove legally .	null	null	null	null	UNANN	6531071	null	null	null	null
185	23575	3	3	0	4098331	QN : Did Ed drive ?	null	null	null	null	UNANN	6531072	null	null	null	null
185	23575	1	4	0	4098332	ID: PARC -4 .	null	null	null	null	UNANN	6531073	null	null	null	null
185	23575	2	4	0	4098333	Ed drove predictably .	null	null	null	null	UNANN	6531074	null	null	null	null
185	23575	3	4	0	4098334	QN : Did Ed drive ?	null	null	null	null	UNANN	6531075	null	null	null	null
185	23575	1	5	0	4098335	ID: PARC -5 .	null	null	null	null	UNANN	6531076	null	null	null	null
185	23575	2	5	0	4098336	Legally , Ed could drive .	null	null	null	null	UNANN	6531077	null	null	null	null
185	23575	3	5	0	4098337	QN : Did Ed drive ?	null	null	null	null	UNANN	6531078	null	null	null	null
185	23575	1	6	0	4098338	ID: PARC -6 .	null	null	null	null	UNANN	6531079	null	null	null	null
185	23575	2	6	0	4098339	Predictably , Ed drove .	null	null	null	null	UNANN	6531080	null	null	null	null
185	23575	3	6	0	4098340	QN : Did Ed drive ?	null	null	null	null	UNANN	6531081	null	null	null	null
185	23575	1	7	0	4098341	ID: PARC -7 .	null	null	null	null	UNANN	6531082	null	null	null	null
185	23575	2	7	0	4098342	The technician cooled the room .	null	null	null	null	UNANN	6531083	null	null	null	null
185	23575	3	7	0	4098343	QN : Did the technician lower the temperature of the room ?	null	null	null	null	UNANN	6531084	null	null	null	null
185	23575	1	8	0	4098344	ID: PARC -8 .	null	null	null	null	UNANN	6531085	null	null	null	null
185	23575	2	8	0	4098345	The technician raised the temperature of the room .	null	null	null	null	UNANN	6531086	null	null	null	null
185	23575	3	8	0	4098346	QN : Did the technician cool the room ?	null	null	null	null	UNANN	6531087	null	null	null	null
185	23575	1	9	0	4098347	ID: PARC -9 .	null	null	null	null	UNANN	6531088	null	null	null	null
185	23575	2	9	0	4098348	The president visited Iraq in September .	null	null	null	null	UNANN	6531089	null	null	null	null
185	23575	3	9	0	4098349	QN : Has the president gone to Iraq ?	null	null	null	null	UNANN	6531090	null	null	null	null
185	23575	1	10	0	4098350	ID: PARC -10 .	null	null	null	null	UNANN	6531091	null	null	null	null
185	23575	2	10	0	4098351	Jones has visited Iraq .	null	null	null	null	UNANN	6531092	null	null	null	null
185	23575	3	10	0	4098352	QN : Did Jones visit Iraq in September ?	null	null	null	null	UNANN	6531093	null	null	null	null
185	23575	1	11	0	4098353	ID: PARC -11 .	null	null	null	null	UNANN	6531094	null	null	null	null
185	23575	2	11	0	4098354	Jones arrived in Paris in September last year .	null	null	null	null	UNANN	6531095	null	null	null	null
185	23575	2	11	0	4098354	Jones arrived in Paris in September last year .	940	arrive.v	54	Arriving	MANUAL	6532477	6	12	RLG	arrived
185	23575	2	11	0	4098354	Jones arrived in Paris in September last year .	4074	year.n	229	Calendric_unit	MANUAL	6532478	41	44	RLG	year
185	23575	3	11	0	4098355	QN : Did Jones arrive in Paris last year ?	null	null	null	null	UNANN	6531096	null	null	null	null
185	23575	3	11	0	4098355	QN : Did Jones arrive in Paris last year ?	940	arrive.v	54	Arriving	MANUAL	6532483	15	20	RLG	arrive
185	23575	1	12	0	4098356	ID: PARC -12 .	null	null	null	null	UNANN	6531097	null	null	null	null
185	23575	2	12	0	4098357	Jones arrived in Paris in September last year .	null	null	null	null	UNANN	6531098	null	null	null	null
185	23575	2	12	0	4098357	Jones arrived in Paris in September last year .	940	arrive.v	54	Arriving	MANUAL	6533515	6	12	Hay	arrived
185	23575	2	12	0	4098357	Jones arrived in Paris in September last year .	4074	year.n	229	Calendric_unit	MANUAL	6533516	41	44	Hay	year
185	23575	3	12	0	4098358	QN : Did Jones arrive in Paris in September ?	null	null	null	null	UNANN	6531099	null	null	null	null
185	23575	3	12	0	4098358	QN : Did Jones arrive in Paris in September ?	940	arrive.v	54	Arriving	MANUAL	6533415	15	20	MJE	arrive
185	23575	1	13	0	4098359	ID: PARC -13 .	null	null	null	null	UNANN	6531100	null	null	null	null
185	23575	2	13	0	4098360	Jones arrived on a Sunday in September .	null	null	null	null	UNANN	6531101	null	null	null	null
185	23575	2	13	0	4098360	Jones arrived on a Sunday in September .	940	arrive.v	54	Arriving	MANUAL	6533416	6	12	MJE	arrived
185	23575	3	13	0	4098361	QN : Did Jones arrive on a Sunday ?	null	null	null	null	UNANN	6531102	null	null	null	null
185	23575	3	13	0	4098361	QN : Did Jones arrive on a Sunday ?	940	arrive.v	54	Arriving	MANUAL	6533417	15	20	MJE	arrive
185	23575	1	14	0	4098362	ID: PARC -14 .	null	null	null	null	UNANN	6531103	null	null	null	null
185	23575	2	14	0	4098363	Jones arrived on a Sunday in September .	null	null	null	null	UNANN	6531104	null	null	null	null
185	23575	2	14	0	4098363	Jones arrived on a Sunday in September .	940	arrive.v	54	Arriving	MANUAL	6533517	6	12	Hay	arrived
185	23575	3	14	0	4098364	QN : Did Jones arrive in September ?	null	null	null	null	UNANN	6531105	null	null	null	null
185	23575	3	14	0	4098364	QN : Did Jones arrive in September ?	940	arrive.v	54	Arriving	MANUAL	6533418	15	20	MJE	arrive
185	23575	1	15	0	4098365	ID: PARC -15 .	null	null	null	null	UNANN	6531106	null	null	null	null
185	23575	2	15	0	4098366	The president left after the diplomat arrived .	null	null	null	null	UNANN	6531107	null	null	null	null
185	23575	2	15	0	4098366	The president left after the diplomat arrived .	8622	leave.v	57	Departing	MANUAL	6533315	14	17	RLG	left
185	23575	2	15	0	4098366	The president left after the diplomat arrived .	1599	president	73	Leadership	MANUAL	6533316	4	12	RLG	president
185	23575	2	15	0	4098366	The president left after the diplomat arrived .	11746	after.prep	81	Relative_time	MANUAL	6533317	19	23	RLG	after
