corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23579	1	1	0	4098888	ID:UTD-ICSI-1 .	null	null	null	null	UNANN	6531629	null	null	null	null
185	23579	2	1	0	4098889	Iran purchased plans for building a nuclear reactor from A.Q. Khan .	null	null	null	null	UNANN	6531630	null	null	null	null
185	23579	2	1	0	4098889	Iran purchased plans for building a nuclear reactor from A.Q. Khan .	2971	purchase.v	171	Commerce_buy	MANUAL	6532142	5	13	CFB	purchased
185	23579	2	1	0	4098889	Iran purchased plans for building a nuclear reactor from A.Q. Khan .	4738	build.v	259	Building	MANUAL	6532143	25	32	CFB	building
185	23579	3	1	0	4098890	QN : Does Iran own plans for building a nuclear reactor ?	null	null	null	null	UNANN	6531631	null	null	null	null
185	23579	3	1	0	4098890	QN : Does Iran own plans for building a nuclear reactor ?	2358	own.v	118	Possession	MANUAL	6532146	15	17	CFB	own
185	23579	3	1	0	4098890	QN : Does Iran own plans for building a nuclear reactor ?	4738	build.v	259	Building	MANUAL	6532148	29	36	CFB	building
185	23579	1	2	0	4098891	ID:UTD-ICSI-2 .	null	null	null	null	UNANN	6531632	null	null	null	null
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	null	null	null	null	UNANN	6531633	null	null	null	null
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	244	demonstrate.v	25	Evidence	MANUAL	6532162	31	43	CFB	demonstrating
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	11673	provide.v	1346	Supply	MANUAL	6532163	10	17	CFB	provided
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	10843	evidence.n	25	Evidence	MANUAL	6532165	22	29	CFB	evidence
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	1127	elimination.n	63	Removing	MANUAL	6532166	49	59	CFB	elimination
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	10158	ability.n	990	Capability	MANUAL	6532169	87	93	CFB	ability
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	8570	exist.v	660	Existence	MANUAL	6532172	107	113	CFB	existed
185	23579	2	2	0	4098892	Egypt has provided no evidence demonstrating the elimination of its biological warfare ability , which has existed since at least 1972 .	11600	warfare.n	93	Hostile_encounter	MANUAL	6532176	79	85	CFB	warfare
185	23579	3	2	0	4098893	QN : Does Egypt have stockpiles of biological weapons ?	null	null	null	null	UNANN	6531634	null	null	null	null
185	23579	3	2	0	4098893	QN : Does Egypt have stockpiles of biological weapons ?	2378	have.v	118	Possession	MANUAL	6532179	16	19	CFB	have
185	23579	3	2	0	4098893	QN : Does Egypt have stockpiles of biological weapons ?	12266	stockpile.n	1511	Store	MANUAL	6532180	21	30	CFB	stockpiles
185	23579	3	2	0	4098893	QN : Does Egypt have stockpiles of biological weapons ?	10637	biological	426	Weapon	MANUAL	6532182	35	44	EGp	biological
185	23579	3	2	0	4098893	QN : Does Egypt have stockpiles of biological weapons ?	10637	biological	426	Weapon	MANUAL	6532182	46	52	EGp	weapons
185	23579	1	3	0	4098894	ID:UTD-ICSI-3 .	null	null	null	null	UNANN	6531635	null	null	null	null
185	23579	2	3	0	4098895	Egypt has suspended production of BW .	null	null	null	null	UNANN	6531636	null	null	null	null
185	23579	2	3	0	4098895	Egypt has suspended production of BW .	11354	suspend.v	167	Activity_pause	MANUAL	6532184	10	18	CFB	suspended
185	23579	2	3	0	4098895	Egypt has suspended production of BW .	11441	production.n	408	Manufacturing	MANUAL	6532191	20	29	CFB	production
185	23579	2	3	0	4098895	Egypt has suspended production of BW .	10655	BW.n	426	Weapon	UNANN	6532320	null	null	null	null
185	23579	2	3	0	4098895	Egypt has suspended production of BW .	10655	BW.n	426	Weapon	UNANN	6532320	34	35	CFB	BW
185	23579	3	3	0	4098896	QN : Is Egypt producing BW ?	null	null	null	null	UNANN	6531637	null	null	null	null
185	23579	3	3	0	4098896	QN : Is Egypt producing BW ?	7523	produce.v	408	Manufacturing	MANUAL	6532202	14	22	CFB	producing
185	23579	3	3	0	4098896	QN : Is Egypt producing BW ?	10655	BW.n	426	Weapon	UNANN	6532322	null	null	null	null
185	23579	3	3	0	4098896	QN : Is Egypt producing BW ?	10655	BW.n	426	Weapon	UNANN	6532322	24	25	CFB	BW
185	23579	1	4	0	4098897	ID:UTD-ICSI-4 .	null	null	null	null	UNANN	6531638	null	null	null	null
185	23579	2	4	0	4098898	Egypt has suspended production of BW .	null	null	null	null	UNANN	6531639	null	null	null	null
185	23579	2	4	0	4098898	Egypt has suspended production of BW .	11354	suspend.v	167	Activity_pause	MANUAL	6533656	10	18	Hay	suspended
185	23579	2	4	0	4098898	Egypt has suspended production of BW .	11441	production.n	408	Manufacturing	MANUAL	6533657	20	29	Hay	production
185	23579	2	4	0	4098898	Egypt has suspended production of BW .	10655	BW.n	426	Weapon	UNANN	6533658	null	null	null	null
185	23579	2	4	0	4098898	Egypt has suspended production of BW .	10655	BW.n	426	Weapon	UNANN	6533658	34	35	Hay	BW
185	23579	3	4	0	4098899	QN : Has Egypt produced BW ?	null	null	null	null	UNANN	6531640	null	null	null	null
185	23579	3	4	0	4098899	QN : Has Egypt produced BW ?	7523	produce.v	408	Manufacturing	MANUAL	6532208	15	22	CFB	produced
185	23579	3	4	0	4098899	QN : Has Egypt produced BW ?	10655	BW.n	426	Weapon	UNANN	6532327	null	null	null	null
185	23579	3	4	0	4098899	QN : Has Egypt produced BW ?	10655	BW.n	426	Weapon	UNANN	6532327	24	25	CFB	BW
185	23579	1	5	0	4098900	ID:UTD-ICSI-5 .	null	null	null	null	UNANN	6531641	null	null	null	null
