corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23701	1	1	0	4101308	Iraq clears visit by Ohio official By Scott Montgomery	null	null	null	null	UNANN	6544496	null	null	null	null
205	23701	1	1	0	4101308	Iraq clears visit by Ohio official By Scott Montgomery	14224	visit.n	1911	Visiting	MANUAL	6544777	12	16	MJE	visit
205	23701	1	1	0	4101308	Iraq clears visit by Ohio official By Scott Montgomery	10625	official.n	73	Leadership	MANUAL	6544778	26	33	MJE	official
205	23701	1	1	0	4101308	Iraq clears visit by Ohio official By Scott Montgomery	18764	clear.v	520	Deny_or_grant_permission	MANUAL	6548955	5	10	KmG	clears
205	23701	1	2	0	4101309	Washington	null	null	null	null	UNANN	6544497	null	null	null	null
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	null	null	null	null	UNANN	6544498	null	null	null	null
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	12761	agree.v	1625	Agree_or_refuse_to_act	MANUAL	6544779	25	30	MJE	agreed
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	18787	let.v	516	Preventing_or_letting	MANUAL	6544780	35	37	MJE	let
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	8131	assess.v	519	Assessing	MANUAL	6544782	91	96	MJE	assess
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	5955	fester.v	340	Rotting	MANUAL	6544784	129	136	MJE	festered
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	751	say.v	43	Statement	MANUAL	6544818	182	185	MJE	said
205	23701	1	3	0	4101310	The Iraqi government has agreed to let U.S. Rep . Tony Hall visit the country next week to assess a humanitarian crisis that has festered since the Gulf War of 1990 , Hall 's office said Monday .	3683	country.n	195	Political_locales	MANUAL	6544822	70	76	MJE	country
