corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23712	1	1	0	4101357	U.S. Congressman Concludes Landmark Visit to Iraq	null	null	null	null	UNANN	6544592	null	null	null	null
205	23712	1	2	0	4101358	BAGHDAD , April 20 ( Xinhua ) --	null	null	null	null	UNANN	6544593	null	null	null	null
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	null	null	null	null	UNANN	6544594	null	null	null	null
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	8622	leave.v	57	Departing	MANUAL	6544906	44	47	RLG	left
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	3997	Thursday.n	229	Calendric_unit	MANUAL	6544907	54	61	RLG	Thursday
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	6715	after.prep	379	Time_vector	MANUAL	6544908	63	67	RLG	after
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	11351	conclude.v	165	Activity_finish	MANUAL	6544909	69	78	RLG	concluding
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	14224	visit.n	1911	Visiting	MANUAL	6544910	93	97	RLG	visit
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	10799	to.prep	1177	Goal	MANUAL	6544911	99	100	RLG	to
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	10676	sanction.n	347	Revenge	MANUAL	6544912	144	152	RLG	sanctions
205	23712	1	3	0	4101359	U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .	14529	congressman.n	73	Leadership	MANUAL	6548817	22	32	JKs	Congressman
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	null	null	null	null	UNANN	6544595	null	null	null	null
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	754	statement.n	43	Statement	MANUAL	6544913	5	13	RLG	statement
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	12733	express.v	1622	Expressing_publicly	MANUAL	6544914	22	30	RLG	expressed
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	6704	regret.n	48	Experiencer_focus	MANUAL	6544915	32	37	RLG	regret
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	11091	impact.n	1084	Objective_influence	MANUAL	6544916	57	63	RLG	impacts
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	5511	people.n	304	People	MANUAL	6544917	102	107	RLG	people
205	23712	1	4	0	4101360	In a statement , Hall expressed regret over the negative impacts of the decade-old sanctions on Iraqi people .	10676	sanction.n	347	Revenge	MANUAL	6551519	83	91	KmG	sanctions
205	23712	1	5	0	4101361	During his four-day stay , Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province .	null	null	null	null	UNANN	6544596	null	null	null	null
205	23712	1	5	0	4101361	During his four-day stay , Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province .	13973	stay.n	1885	Temporary_stay	MANUAL	6544918	20	23	RLG	stay
205	23712	1	5	0	4101361	During his four-day stay , Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province .	3013	hospital.n	173	Buildings	MANUAL	6544920	40	48	RLG	hospitals
205	23712	1	5	0	4101361	During his four-day stay , Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province .	12614	institution.n	1604	Institutions	MANUAL	6544925	61	72	RLG	institutions
205	23712	1	5	0	4101361	During his four-day stay , Hall visited hospitals and health institutions in Baghdad and the southern Muthana Province .	947	visit.v	54	Arriving	MANUAL	6544966	32	38	KmG	visited
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	null	null	null	null	UNANN	6544597	null	null	null	null
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	13256	acquainted.a	1597	Familiarity	MANUAL	6544934	22	31	RLG	acquainted
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	10083	child.n	973	People_by_age	MANUAL	6544936	66	73	RLG	children
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	13420	because	5	Causation	MANUAL	6544937	75	81	EGp	because
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	13420	because	5	Causation	MANUAL	6544937	83	84	EGp	of
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	13129	food.n	277	Food	MANUAL	6544938	104	107	RLG	food
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	748	report.v	43	Statement	MANUAL	6544940	158	165	RLG	reported
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	14023	agency.n	1371	Organization	MANUAL	6544941	182	187	RLG	Agency
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	14552	result.n	5	Causation	MANUAL	6548819	134	139	JKs	result
205	23712	1	6	0	4101362	The U.S. lawmaker got acquainted with the sufferings of the Iraqi children because of acute shortage of food and medicine as a direct result of the embargo , reported the Iraqi News Agency ( INA ) .	14927	lawmaker.n	73	Leadership	MANUAL	6552187	9	16	JKs	lawmaker
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	null	null	null	null	UNANN	6544598	null	null	null	null
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	2654	case.n	132	Instance	MANUAL	6544944	18	22	RLG	cases
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	1996	double.v	91	Change_position_on_a_scale	MANUAL	6544945	68	74	RLG	doubled
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	10676	sanction.n	347	Revenge	MANUAL	6544948	111	119	RLG	sanctions
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	751	say.v	43	Statement	MANUAL	6544951	163	166	RLG	said
205	23712	1	7	0	4101363	He also witnessed cases of malnutrition and poliomyelitis that have doubled since 1990 , when U.N. imposed the sanctions against Iraq for its invasion of Kuwait , said the INA .	14553	witness.v	70	Perception_experience	MANUAL	6548820	8	16	JKs	witnessed
