corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23714	1	1	0	4101374	June 6, 2000	null	null	null	null	UNANN	6544609	null	null	null	null
205	23714	1	1	0	4101374	June 6, 2000	4648	June.n	229	Calendric_unit	MANUAL	6545059	0	3	RLG	June
205	23714	1	2	0	4101375	Name Address City , ST Zip	null	null	null	null	UNANN	6544610	null	null	null	null
205	23714	1	3	0	4101376	Dear Name:	null	null	null	null	UNANN	6544611	null	null	null	null
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	null	null	null	null	UNANN	6544612	null	null	null	null
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	8421	ask.v	40	Questioning	MANUAL	6545061	13	17	RLG	asked
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	4491	send.v	243	Sending	MANUAL	6545062	25	28	RLG	send
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	12537	information.n	1591	Information	MANUAL	6545063	35	45	RLG	information
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	11045	invite.v	41	Request	MANUAL	6545064	47	54	RLG	inviting
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	13160	join.v	1733	Becoming_a_member	MANUAL	6545065	63	66	RLG	join
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	13802	museum.n	196	Locale_by_use	MANUAL	6545066	116	121	RLG	Museum
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	11249	second.a	1147	Ordinal_numbers	MANUAL	6551597	133	138	KmG	Second
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	3880	century.n	224	Measure_duration	UNANN	6551598	null	null	null	null
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	3880	century.n	224	Measure_duration	UNANN	6551598	140	146	KmG	Century
205	23714	1	4	0	4101377	Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art 's Second Century Society ( SCS ) .	14795	century.n	229	Calendric_unit	MANUAL	6551605	140	146	KmG	Century
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	null	null	null	null	UNANN	6544613	null	null	null	null
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	4344	give.v	139	Giving	MANUAL	6545067	37	40	RLG	give
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	7531	significance.n	407	Importance	MANUAL	6545069	59	70	RLG	significance
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	10616	activity.n	198	Intentionally_act	MANUAL	6545070	100	109	RLG	activities
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	5346	donor.n	139	Giving	MANUAL	6545071	144	149	RLG	donors
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	11801	level.n	1377	Rank	MANUAL	6545072	175	179	RLG	level
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	14556	brochure.n	298	Text	MANUAL	6548958	8	15	KmG	brochure
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	14182	historic.a	1908	Historic_event	MANUAL	6551579	50	57	KmG	historic
205	23714	2	4	0	4101378	The SCS brochure I am enclosing will give you the historic significance of SCS , as well as listing activities and specific benefits awarded to donors at the Georgia O'Keeffe level .	14796	enclose.v	62	Placing	MANUAL	6551615	22	30	KmG	enclosing
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	null	null	null	null	UNANN	6544614	null	null	null	null
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	10283	membership	1026	Membership	MANUAL	6545073	22	31	RLG	membership
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	176	note.v	20	Becoming_aware	MANUAL	6545074	42	45	RLG	note
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	10687	include.v	1153	Inclusion	MANUAL	6545075	49	56	RLG	includes
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	1777	free.a	83	Expensiveness	MANUAL	6545076	58	61	RLG	free
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	10616	activity.n	198	Intentionally_act	MANUAL	6545077	92	101	RLG	activities
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	10073	young.a	972	Age	MANUAL	6545214	116	120	RLG	Young
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	2177	friend.n	102	Personal_relationship	MANUAL	6545215	122	128	RLG	Friends
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	14359	art.n	1345	Fields	MANUAL	6551616	133	135	KmG	Art
205	23714	3	4	0	4101379	Your Georgia O'Keeffe membership , please note , includes free admission to all art-related activities of the IMA's Young Friends of Art group .	14797	group.n	1371	Organization	MANUAL	6551625	137	141	KmG	group
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	null	null	null	null	UNANN	6544615	null	null	null	null
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	4491	send.v	243	Sending	MANUAL	6545216	20	26	RLG	sending
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	13802	museum.n	196	Locale_by_use	MANUAL	6545217	68	73	RLG	Museum
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	3844	two.num	218	Cardinal_numbers	MANUAL	6545218	83	85	RLG	two
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	5454	magazine.n	298	Text	MANUAL	6545219	117	124	RLG	Magazine
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	13923	event.n	187	Event	MANUAL	6545220	145	150	RLG	events
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	12622	educational.a	111	Education_teaching	MANUAL	6545221	172	182	RLG	educational
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	10724	program.n	1158	Project	MANUAL	6545222	184	191	RLG	programs
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	14605	detail.v	43	Statement	MANUAL	6551578	126	134	KmG	detailing
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	14793	issue.n	298	Text	MANUAL	6551585	94	99	KmG	issues
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	14794	latest.a	81	Relative_time	MANUAL	6551595	87	92	KmG	latest
205	23714	1	5	0	4101380	Additionally , I am sending traditional background materials on the Museum and the two latest issues of our Previews Magazine detailing upcoming events , exhibitions , and educational programs .	14606	material.n	298	Text	MANUAL	6551596	51	59	KmG	materials
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	null	null	null	null	UNANN	6544616	null	null	null	null
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	6433	exciting.a	364	Stimulus_focus	MANUAL	6545240	23	30	KmG	exciting
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	6735	at.prep	199	Locative_relation	MANUAL	6545241	38	39	KmG	at
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	13802	museum.n	196	Locale_by_use	MANUAL	6545242	58	63	KmG	Museum
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	11643	progress.n	1340	Progression	MANUAL	6545245	74	81	KmG	Progress
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	3581	ravine.n	191	Natural_features	MANUAL	6545246	134	139	KmG	Ravine
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	13829	garden.n	196	Locale_by_use	MANUAL	6545247	141	146	KmG	Garden
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	10329	there	660	Existence	MANUAL	6545248	197	201	KmG	there
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	10329	there	660	Existence	MANUAL	6545248	203	204	KmG	is
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	13307	national.a	1103	Origin	MANUAL	6545249	206	213	KmG	national
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	9728	attention.n	791	Attention	MANUAL	6545250	215	223	KmG	attention
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	2571	shower.v	62	Placing	MANUAL	6545251	225	232	KmG	showered
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14084	current.a	1895	Temporal_collocation	MANUAL	6545252	241	247	KmG	current
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	13904	japanese.a	1103	Origin	MANUAL	6545253	263	270	KmG	Japanese
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14299	see.v	1924	Reference_text	MANUAL	6545254	291	293	KmG	see
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	5460	article.n	298	Text	MANUAL	6545255	314	320	KmG	article
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	3328	thousands.n	189	Quantified_mass	MANUAL	6545256	346	354	KmG	thousands
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14422	have.v	1933	Have_associated	MANUAL	6545257	395	400	KmG	having
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	10206	beautiful.a	1016	Aesthetics	MANUAL	6545258	404	412	KmG	beautiful
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	5139	spring.n	229	Calendric_unit	MANUAL	6545259	414	419	KmG	Spring
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	2799	continue.v	145	Process_continue	MANUAL	6548957	83	91	KmG	continues
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14557	restore.v	1614	Rejuvenation	UNANN	6548963	null	null	null	null
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14557	restore.v	1614	Rejuvenation	UNANN	6548963	157	164	KmG	restored
205	23714	1	6	0	4101381	These are particularly exciting times at the Indianapolis Museum of Art : Progress continues on the J.K. Lilly estate-Oldfields , our Ravine Garden has been restored to its original splendor , and there is national attention showered on our current exhibition of Japanese Painting. ( please see The New York Times article I have included. ) With thousands of trees and flowers in bloom , we are having a beautiful Spring !	14359	art.n	1345	Fields	MANUAL	6551626	68	70	KmG	Art
