corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23736	1	1	0	4102784	Thoughts about Security of Principal Squads	null	null	null	null	UNANN	6546599	null	null	null	null
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	null	null	null	null	UNANN	6546600	null	null	null	null
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	7408	praise.v	219	Judgment_communication	MANUAL	6549799	0	5	JKs	Praise
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	751	say.v	43	Statement	MANUAL	6549800	17	20	JKs	said
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	11673	provide.v	1346	Supply	MANUAL	6549801	22	28	JKs	provide
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	10221	believe.v	1019	Religious_belief	MANUAL	6549802	40	47	JKs	believed
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	12443	security.n	1560	Being_at_risk	MANUAL	6549803	54	61	JKs	security
205	23736	1	2	0	4102785	Praise Allah who said provide those who believed with security and peace be upon our prophet .	17809	upon.prep	2890	Spatial_contact	MANUAL	6549804	76	79	JKs	upon
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	null	null	null	null	UNANN	6546601	null	null	null	null
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	1938	confront.v	93	Hostile_encounter	MANUAL	6549806	10	20	JKs	confronting
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	6257	fall.v	362	Motion_directional	MANUAL	6549807	34	38	JKs	falls
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6549810	40	41	JKs	in
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	3845	three.num	218	Cardinal_numbers	MANUAL	6549811	43	47	JKs	three
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	13059	organization.n	1371	Organization	MANUAL	6549818	86	98	JKs	organizations
205	23736	1	3	0	4102786	The enemy confronting our society falls in three categories : 1- Hostile intelligence organizations , such as the United States , Saudi Arabia , Egypt , Pakistan and the Jews 2- The straying group who are atheists and apostates 3- The existing environment .	2112	group.n	103	Aggregate	MANUAL	6549819	191	195	JKs	group
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	null	null	null	null	UNANN	6546602	null	null	null	null
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	10687	include.v	1153	Inclusion	MANUAL	6549821	5	11	JKs	include
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	13153	regime.n	73	Leadership	MANUAL	6549822	25	30	JKs	regime
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	2131	clique.n	103	Aggregate	MANUAL	6549823	45	51	JKs	cliques
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	5254	depose.v	72	Change_of_leadership	MANUAL	6549824	17	23	JKs	deposed
205	23736	2	3	0	4102787	They include the deposed regime , the tribal cliques , the hired fighters , and the standard criminals .	5774	hire.v	322	Hiring	MANUAL	6549825	59	63	JKs	hired
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	null	null	null	null	UNANN	6546603	null	null	null	null
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	2112	group.n	103	Aggregate	MANUAL	6549827	10	15	JKs	groups
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	7742	attack.v	424	Attack	MANUAL	6549829	49	57	JKs	Attacking
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	8047	purpose.n	513	Purpose	MANUAL	6549830	67	73	JKs	purpose
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	2456	kidnap.v	122	Kidnapping	MANUAL	6549832	102	111	JKs	Kidnapping
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	9068	assassination.n	590	Killing	MANUAL	6549833	84	96	JKs	Assassination
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	12781	raid.n	424	Attack	MANUAL	6549834	124	128	JKs	raids
205	23736	1	4	0	4102788	The above groups pose the following dangers : 1- Attacking for the purpose of : A : Assassination B : Kidnapping C : Aerial raids and artillery attacks 2- Sabotage A : Setting fires B : Explosions C : Technical sabotage D : Chemical sabotage 3- Spying A : Recruiting a member of society B : Planting a mole within society C : Spying surveillance operation 4- Stealing 5- Pests : A : Poisonous such as snakes and scorpions B : Harmful such as rats and cockroaches C : Sickening such as mosquitoes	7745	attack.n	424	Attack	MANUAL	6549835	144	150	JKs	attacks
