corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23726	1	1	0	4101810	welcome back to `` people in the news . ''	null	null	null	null	UNANN	6545568	null	null	null	null
205	23726	1	1	0	4101810	welcome back to `` people in the news . ''	5511	people.n	304	People	MANUAL	6546040	19	24	KmG	people
205	23726	1	2	0	4101811	The Intifada , the spontaneous 1987 Palestinian uprising against the Israeli occupation , heralded the rise of the Muslim fundamentalism .	null	null	null	null	UNANN	6545569	null	null	null	null
205	23726	1	2	0	4101811	The Intifada , the spontaneous 1987 Palestinian uprising against the Israeli occupation , heralded the rise of the Muslim fundamentalism .	1572	uprising.n	72	Change_of_leadership	MANUAL	6546041	48	55	KmG	uprising
205	23726	1	2	0	4101811	The Intifada , the spontaneous 1987 Palestinian uprising against the Israeli occupation , heralded the rise of the Muslim fundamentalism .	11499	against.prep	1306	Taking_sides	MANUAL	6546042	57	63	KmG	against
205	23726	1	2	0	4101811	The Intifada , the spontaneous 1987 Palestinian uprising against the Israeli occupation , heralded the rise of the Muslim fundamentalism .	10367	herald.v	412	Omen	MANUAL	6546043	90	97	KmG	heralded
205	23726	1	2	0	4101811	The Intifada , the spontaneous 1987 Palestinian uprising against the Israeli occupation , heralded the rise of the Muslim fundamentalism .	10222	muslim.n	1021	People_by_religion	MANUAL	6546044	115	120	KmG	Muslim
205	23726	2	2	0	4101812	In what had been a mostly secular Palestinian movement .	null	null	null	null	UNANN	6545570	null	null	null	null
205	23726	3	2	0	4101813	The most popular of these groups Hamas , an acronym for Islamic resistance movement .	null	null	null	null	UNANN	6545571	null	null	null	null
205	23726	3	2	0	4101813	The most popular of these groups Hamas , an acronym for Islamic resistance movement .	2112	group.n	103	Aggregate	MANUAL	6546045	26	31	KmG	groups
205	23726	4	2	0	4101814	In English it means zeal , its aim -- the destruction of Israel .	null	null	null	null	UNANN	6545572	null	null	null	null
205	23726	4	2	0	4101814	In English it means zeal , its aim -- the destruction of Israel .	7490	mean.v	406	Linguistic_meaning	MANUAL	6546046	14	18	KmG	means
205	23726	4	2	0	4101814	In English it means zeal , its aim -- the destruction of Israel .	8049	aim.n	513	Purpose	MANUAL	6546048	31	33	KmG	aim
205	23726	4	2	0	4101814	In English it means zeal , its aim -- the destruction of Israel .	7625	destruction.n	417	Destroying	MANUAL	6546049	42	52	KmG	destruction
205	23726	1	3	0	4101815	Hamas is an Islamic movement .	null	null	null	null	UNANN	6545573	null	null	null	null
205	23726	2	3	0	4101816	At the very beginning , it was encouraged by Israel because they thought it was a counter weight to Palestinian nationalism which is , of course , a secular movement .	null	null	null	null	UNANN	6545574	null	null	null	null
205	23726	2	3	0	4101816	At the very beginning , it was encouraged by Israel because they thought it was a counter weight to Palestinian nationalism which is , of course , a secular movement .	12872	beginning.n	1470	Temporal_subregion	MANUAL	6546050	12	20	KmG	beginning
205	23726	2	3	0	4101816	At the very beginning , it was encouraged by Israel because they thought it was a counter weight to Palestinian nationalism which is , of course , a secular movement .	13419	because.c	5	Causation	MANUAL	6546052	52	58	KmG	because
205	23726	2	3	0	4101816	At the very beginning , it was encouraged by Israel because they thought it was a counter weight to Palestinian nationalism which is , of course , a secular movement .	169	think.v	19	Awareness	MANUAL	6546053	65	71	KmG	thought
205	23726	1	4	0	4101817	Hamas was founded in 1988 by a blind paraplegic cleric who was influenced by the Islamic muslim brotherhood , with backing from Israel , he set up sharities in the improverished strip in the 1970s .	null	null	null	null	UNANN	6545575	null	null	null	null
205	23726	1	4	0	4101817	Hamas was founded in 1988 by a blind paraplegic cleric who was influenced by the Islamic muslim brotherhood , with backing from Israel , he set up sharities in the improverished strip in the 1970s .	11708	found.v	280	Intentionally_create	MANUAL	6546054	10	16	KmG	founded
205	23726	1	4	0	4101817	Hamas was founded in 1988 by a blind paraplegic cleric who was influenced by the Islamic muslim brotherhood , with backing from Israel , he set up sharities in the improverished strip in the 1970s .	14080	in.prep	1895	Temporal_collocation	MANUAL	6546055	18	19	KmG	in
205	23726	1	4	0	4101817	Hamas was founded in 1988 by a blind paraplegic cleric who was influenced by the Islamic muslim brotherhood , with backing from Israel , he set up sharities in the improverished strip in the 1970s .	10441	influence.v	1083	Subjective_influence	MANUAL	6546056	63	72	KmG	influenced
205	23726	1	4	0	4101817	Hamas was founded in 1988 by a blind paraplegic cleric who was influenced by the Islamic muslim brotherhood , with backing from Israel , he set up sharities in the improverished strip in the 1970s .	10222	muslim.n	1021	People_by_religion	MANUAL	6546057	89	94	KmG	muslim
