corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23719	1	1	0	4101513	Date : Wed , 25 Jul 2001 16:45:08 -0700 ( PDT )	null	null	null	null	UNANN	6544762	null	null	null	null
205	23719	1	2	0	4101514	From : rpearson @ oilstates.com	null	null	null	null	UNANN	6544763	null	null	null	null
205	23719	1	3	0	4101515	To : don.baughman @ enron.com	null	null	null	null	UNANN	6544764	null	null	null	null
205	23719	1	4	0	4101516	Subject : RE : Unclassified rules	null	null	null	null	UNANN	6544765	null	null	null	null
205	23719	1	5	0	4101517	HOWDY ,	null	null	null	null	UNANN	6544766	null	null	null	null
205	23719	1	6	0	4101518	WHAT 'S BEEN GOING ON AMIGO .	null	null	null	null	UNANN	6544767	null	null	null	null
205	23719	1	6	0	4101518	WHAT 'S BEEN GOING ON AMIGO .	8441	amigo.n	102	Personal_relationship	MANUAL	6545090	22	26	KmG	AMIGO
205	23719	2	6	0	4101519	I HAVE NOT TALKED TO YOU IN A WHILE .	null	null	null	null	UNANN	6544768	null	null	null	null
205	23719	2	6	0	4101519	I HAVE NOT TALKED TO YOU IN A WHILE .	9979	talk.v	910	Chatting	MANUAL	6545091	11	16	KmG	TALKED
205	23719	3	6	0	4101520	GIVE YOU THE SCOPE OF WHATS BEEN GOING ON WITH ME .	null	null	null	null	UNANN	6544769	null	null	null	null
205	23719	4	6	0	4101521	I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY .	null	null	null	null	UNANN	6544770	null	null	null	null
205	23719	4	6	0	4101521	I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY .	14080	in.prep	1895	Temporal_collocation	MANUAL	6545092	22	23	KmG	IN
205	23719	4	6	0	4101521	I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY .	10175	another.a	1001	Increment	MANUAL	6545093	36	42	KmG	ANOTHER
205	23719	4	6	0	4101521	I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY .	11113	company.n	365	Businesses	MANUAL	6545094	44	50	KmG	COMPANY
205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	null	null	null	null	UNANN	6544771	null	null	null	null
205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	13232	a	189	Quantified_mass	MANUAL	6545095	6	8	KmG	LOT
205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	13232	a	189	Quantified_mass	MANUAL	6545095	4	4	KmG	A
205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	5957	travel.v	343	Travel	MANUAL	6545096	13	21	KmG	TRAVELING
205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	941	come.v	54	Arriving	MANUAL	6545097	71	74	KmG	COME
205	23719	6	6	0	4101523	SO I AM BACK .	null	null	null	null	UNANN	6544772	null	null	null	null
205	23719	1	7	0	4101524	WHO 'S GETTING MARRIED ?	null	null	null	null	UNANN	6544773	null	null	null	null
205	23719	1	7	0	4101524	WHO 'S GETTING MARRIED ?	10393	get.v	1070	Transition_to_state	MANUAL	6545098	7	13	KmG	GETTING
205	23719	1	7	0	4101524	WHO 'S GETTING MARRIED ?	9028	marry.v	723	Forming_relationships	MANUAL	6545101	15	21	KmG	MARRIED
205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	null	null	null	null	UNANN	6544774	null	null	null	null
205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	1327	sound.v	67	Give_impression	MANUAL	6545102	0	5	KmG	SOUNDS
205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	6316	great.a	354	Desirability	MANUAL	6545103	34	38	KmG	GREAT
205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	2038	bachelor.n	102	Personal_relationship	MANUAL	6545104	40	47	KmG	BACHELOR
205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	2521	party.n	125	Social_event	MANUAL	6545105	49	53	KmG	PARTY
205	23719	3	7	0	4101526	GIVE ME A CALL SOMETIME CELL : 713 991 - 5621 .	null	null	null	null	UNANN	6544775	null	null	null	null
205	23719	3	7	0	4101526	GIVE ME A CALL SOMETIME CELL : 713 991 - 5621 .	5273	call.n	286	Contacting	MANUAL	6545115	10	13	KmG	CALL
205	23719	1	8	0	4101527	ROB	null	null	null	null	UNANN	6544776	null	null	null	null
