corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23732	1	1	0	4102282	IN THE NAME OF GOD , MOST GRACIOUS MOST MERCYFUL	null	null	null	null	UNANN	6546064	null	null	null	null
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	null	null	null	null	UNANN	6546065	null	null	null	null
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	2220	live.v	110	Residence	MANUAL	6550839	30	35	JKs	living
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	14290	some.art	1923	Proportional_quantity	MANUAL	6550840	116	119	JKs	some
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	13782	tribe.n	103	Aggregate	MANUAL	6550841	121	126	JKs	tribes
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	2124	party.n	103	Aggregate	MANUAL	6550842	157	161	JKs	Party
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	14174	sit.v	960	Being_located	MANUAL	6550843	165	167	JKs	sat
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	4685	with.prep	258	Accompaniment	MANUAL	6550844	169	172	JKs	with
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	10094	American.n	974	People_by_origin	MANUAL	6550845	178	186	JKs	Americans
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	10174	other.a	1001	Increment	MANUAL	6550846	204	208	JKs	other
205	23732	1	2	0	4102283	So this is the reality we 're living in al-Anbar in general , and Ramadi in particular , that is the head Sheiks of some tribes , and symbols of the Islamic Party , sat with the Americans in Jordan , and other places , to fight terrorism and its people .	3697	place.n	192	Locale	MANUAL	6550847	210	215	JKs	places
