corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23728	1	1	0	4101867	1 8-20010116-18161105-18200044 ( 3:49 )	null	null	null	null	UNANN	6545625	null	null	null	null
205	23728	1	2	0	4101868	2 [ dialing/ringing ]	null	null	null	null	UNANN	6545626	null	null	null	null
205	23728	1	3	0	4101869	3 RICH : Las Vegas Cogen , this is Rich .	null	null	null	null	UNANN	6545627	null	null	null	null
205	23728	1	4	0	4101870	4 BILL : Hey , Rich .	null	null	null	null	UNANN	6545628	null	null	null	null
205	23728	2	4	0	4101871	This is Bill up at Enron .	null	null	null	null	UNANN	6545629	null	null	null	null
205	23728	2	4	0	4101871	This is Bill up at Enron .	6735	at.prep	199	Locative_relation	MANUAL	6547881	16	17	KmG	at
205	23728	1	5	0	4101872	5 RICH : Bill .	null	null	null	null	UNANN	6545630	null	null	null	null
205	23728	1	6	0	4101873	6 BILL : How you doin ' , man ?	null	null	null	null	UNANN	6545631	null	null	null	null
205	23728	1	7	0	4101874	7 RICH : Junior or Senior ?	null	null	null	null	UNANN	6545632	null	null	null	null
205	23728	1	8	0	4101875	8 BILL : Ha-ha .	null	null	null	null	UNANN	6545633	null	null	null	null
205	23728	2	8	0	4101876	The Third .	null	null	null	null	UNANN	6545634	null	null	null	null
205	23728	2	8	0	4101876	The Third .	11251	third.a	1147	Ordinal_numbers	MANUAL	6547882	4	8	KmG	Third
205	23728	1	9	0	4101877	9 RICH : The third !	null	null	null	null	UNANN	6545635	null	null	null	null
205	23728	1	9	0	4101877	9 RICH : The third !	11251	third.a	1147	Ordinal_numbers	MANUAL	6547883	13	17	KmG	third
205	23728	2	9	0	4101878	What 's happenin ' Bill the Third .	null	null	null	null	UNANN	6545636	null	null	null	null
205	23728	2	9	0	4101878	What 's happenin ' Bill the Third .	11251	third.a	1147	Ordinal_numbers	MANUAL	6547884	28	32	KmG	Third
205	23728	1	10	0	4101879	10 BILL : Not much , man , I 'm givin ' you a call , ah - we got some issues for tomorrow .	null	null	null	null	UNANN	6545637	null	null	null	null
205	23728	1	10	0	4101879	10 BILL : Not much , man , I 'm givin ' you a call , ah - we got some issues for tomorrow .	5273	call.n	286	Contacting	MANUAL	6547885	46	49	KmG	call
205	23728	1	10	0	4101879	10 BILL : Not much , man , I 'm givin ' you a call , ah - we got some issues for tomorrow .	14290	some.art	1923	Proportional_quantity	MANUAL	6547886	65	68	KmG	some
