corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23716	1	1	0	4101398	Launching the Electronics Free Trade Zone in Dubai	null	null	null	null	UNANN	6544633	null	null	null	null
205	23716	1	1	0	4101398	Launching the Electronics Free Trade Zone in Dubai	15097	launch.v	2070	Launch_process	MANUAL	6552431	0	8	KmG	Launching
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	null	null	null	null	UNANN	6544634	null	null	null	null
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	10639	of.prep	1103	Origin	MANUAL	6549189	98	99	JKs	of
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	14081	on.prep	1895	Temporal_collocation	MANUAL	6549191	129	130	JKs	on
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	4000	Saturday.n	229	Calendric_unit	MANUAL	6549192	132	139	JKs	Saturday
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	3695	zone.n	192	Locale	MANUAL	6549193	171	174	JKs	zone
205	23716	1	2	0	4101399	Dubai 01-82 ( AFP ) - Crown Prince of Dubai Al Sheikh Mohammed bin Rashid Al Maktoom crown prince of Dubai launched today , i.e. on Saturday , an electronics free e-trade zone which has been named `` Dubai Internet City ''	5544	named.a	228	Being_named	MANUAL	6549194	191	195	JKs	named
205	23716	1	3	0	4101400	The cost in the first stage of this unique project is estimated at 200 million dollars .	null	null	null	null	UNANN	6544635	null	null	null	null
205	23716	1	3	0	4101400	The cost in the first stage of this unique project is estimated at 200 million dollars .	9191	cost.n	83	Expensiveness	MANUAL	6549197	4	7	JKs	cost
205	23716	1	3	0	4101400	The cost in the first stage of this unique project is estimated at 200 million dollars .	11248	first.a	1147	Ordinal_numbers	MANUAL	6549198	16	20	JKs	first
