corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23731	1	1	0	4102175	All right .	null	null	null	null	UNANN	6545933	null	null	null	null
205	23731	2	1	0	4102176	Amy how are you doing today ?	null	null	null	null	UNANN	6545934	null	null	null	null
205	23731	2	1	0	4102176	Amy how are you doing today ?	4054	today.n	229	Calendric_unit	MANUAL	6550806	22	26	JKs	today
205	23731	1	2	0	4102177	Fine .	null	null	null	null	UNANN	6545935	null	null	null	null
205	23731	2	2	0	4102178	Fine .	null	null	null	null	UNANN	6545936	null	null	null	null
205	23731	1	3	0	4102179	Oh all righty .	null	null	null	null	UNANN	6545937	null	null	null	null
205	23731	2	3	0	4102180	I think we know what we 're going to speak about .	null	null	null	null	UNANN	6545938	null	null	null	null
205	23731	2	3	0	4102180	I think we know what we 're going to speak about .	10867	think.v	22	Cogitation	MANUAL	6550807	2	6	JKs	think
205	23731	2	3	0	4102180	I think we know what we 're going to speak about .	160	know.v	19	Awareness	MANUAL	6550808	11	14	JKs	know
205	23731	2	3	0	4102180	I think we know what we 're going to speak about .	752	speak.v	43	Statement	MANUAL	6550809	37	41	JKs	speak
205	23731	3	3	0	4102181	Um , tell you what , i 'll start off .	null	null	null	null	UNANN	6545939	null	null	null	null
205	23731	3	3	0	4102181	Um , tell you what , i 'll start off .	4447	start.v	146	Activity_start	MANUAL	6550810	27	31	JKs	start
205	23731	4	3	0	4102182	How 's that ?	null	null	null	null	UNANN	6545940	null	null	null	null
205	23731	1	4	0	4102183	Yeah .	null	null	null	null	UNANN	6545941	null	null	null	null
205	23731	2	4	0	4102184	Okay .	null	null	null	null	UNANN	6545942	null	null	null	null
205	23731	3	4	0	4102185	You go ahead .	null	null	null	null	UNANN	6545943	null	null	null	null
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	null	null	null	null	UNANN	6545944	null	null	null	null
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	10867	think.v	22	Cogitation	MANUAL	6550811	16	20	JKs	think
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	12628	judicial.a	1607	Judicial_body	MANUAL	6550812	45	52	JKs	judicial
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	9979	talk.v	910	Chatting	MANUAL	6550813	72	78	JKs	talking
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	8830	case.n	201	Trial	MANUAL	6550814	106	110	JKs	cases
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	9920	bring.v	240	Bringing	MANUAL	6551178	129	133	JKs	bring
205	23731	1	5	0	4102186	Um I personally think to set a mark with the judicial system and we 're talking about criminal - criminal cases that they should bring back .	11820	should.v	1383	Desirable_event	MANUAL	6551179	122	127	JKs	should
205	23731	1	6	0	4102187	Um -hum .	null	null	null	null	UNANN	6545945	null	null	null	null
205	23731	1	7	0	4102188	Hangings on weekends .	null	null	null	null	UNANN	6545946	null	null	null	null
205	23731	1	7	0	4102188	Hangings on weekends .	3952	weekend.n	229	Calendric_unit	MANUAL	6550815	12	19	JKs	weekends
205	23731	1	8	0	4102189	In public places .	null	null	null	null	UNANN	6545947	null	null	null	null
205	23731	1	8	0	4102189	In public places .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6550816	0	1	JKs	In
