corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	null	null	null	null	UNANN	6545602	null	null	null	null
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	1975	theft.n	94	Theft	MANUAL	6547596	11	15	RLG	theft
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	12180	foreign.a	1483	Foreign_or_domestic_country	MANUAL	6547597	20	26	RLG	foreign
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	7160	disgruntled.a	46	Emotion_directed	MANUAL	6547598	53	63	RLG	disgruntled
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	11113	company.n	365	Businesses	MANUAL	6547670	91	99	RLG	companies
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	8396	employee.n	323	Employing	MANUAL	6547671	65	73	RLG	employees
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	10238	international.a	195	Political_locales	MANUAL	6547673	128	140	RLG	international
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	3330	billions.n	189	Quantified_mass	MANUAL	6549044	101	108	JKs	billions
205	23727	1	1	0	4101844	Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage .	4468	competitive.a	241	Competition	MANUAL	6549045	142	152	JKs	competitive
205	23727	2	1	0	4101845	That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage .	null	null	null	null	UNANN	6545603	null	null	null	null
205	23727	2	1	0	4101845	That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage .	11808	government.n	1371	Organization	MANUAL	6547675	34	43	RLG	government
205	23727	2	1	0	4101845	That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage .	12443	security.n	1560	Being_at_risk	MANUAL	6547676	57	64	RLG	security
205	23727	2	1	0	4101845	That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage .	2677	expert.n	136	Expertise	MANUAL	6547677	66	72	RLG	experts
