corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	null	null	null	null	UNANN	6545320	null	null	null	null
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	160	know.v	19	Awareness	MANUAL	6549420	10	13	JKs	know
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	1939	war.n	93	Hostile_encounter	MANUAL	6549422	39	41	JKs	war
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6549423	43	44	JKs	in
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	160	know.v	19	Awareness	MANUAL	6549424	69	72	JKs	know
205	23722	1	1	0	4101562	We do n't know who is winning the drug war in Latin America , but we know who 's losing it -- the press .	9832	lose.v	798	Finish_competition	MANUAL	6549425	81	86	JKs	losing
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	null	null	null	null	UNANN	6545321	null	null	null	null
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	13868	past.a	81	Relative_time	MANUAL	6549267	9	12	JKs	past
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	14578	six.num	218	Cardinal_numbers	MANUAL	6549268	14	16	JKs	six
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	4068	month.n	229	Calendric_unit	MANUAL	6549269	18	23	JKs	months
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	14578	six.num	218	Cardinal_numbers	MANUAL	6549270	27	29	JKs	six
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	8630	kill.v	590	Killing	MANUAL	6549271	53	58	JKs	killed
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	14505	ten.num	218	Cardinal_numbers	MANUAL	6549272	64	65	JKs	10
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	2456	kidnap.v	122	Kidnapping	MANUAL	6549273	67	75	JKs	kidnapped
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	11783	trafficker.n	82	Commerce_scenario	MANUAL	6549274	85	95	JKs	traffickers
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	14105	often.adv	80	Frequency	MANUAL	6549276	126	130	JKs	often
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	3843	one.num	218	Cardinal_numbers	MANUAL	6549277	136	138	JKs	one
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	10293	same.a	1029	Identicality	UNANN	6549278	null	null	null	null
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	10293	same.a	1029	Identicality	UNANN	6549278	148	151	JKs	same
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6549279	156	157	JKs	in
205	23722	2	1	0	4101563	Over the past six months , six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in Colombia .	16700	guerrilla.n	2598	Irregular_combatants	MANUAL	6587554	108	117	RLG	guerrillas
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	null	null	null	null	UNANN	6545322	null	null	null	null
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	13868	past.a	81	Relative_time	MANUAL	6549426	9	12	JKs	past
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	4074	year.n	229	Calendric_unit	MANUAL	6549427	17	21	JKs	years
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	14292	at	1923	Proportional_quantity	MANUAL	6549428	25	26	EGp	at
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	14292	at	1923	Proportional_quantity	MANUAL	6549428	28	32	EGp	least
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	924	die.v	53	Death	MANUAL	6549429	54	57	JKs	died
205	23722	3	1	0	4101564	Over the past 12 years , at least 40 journalists have died there .	14497	forty.num	218	Cardinal_numbers	MANUAL	6549431	34	35	JKs	40
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	null	null	null	null	UNANN	6545323	null	null	null	null
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	7745	attack.n	424	Attack	MANUAL	6549432	4	10	JKs	attacks
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	9155	since.adv	379	Time_vector	MANUAL	6549433	29	33	JKs	since
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	12182	government.n	73	Leadership	MANUAL	6549434	49	58	JKs	government
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	4448	begin.v	146	Activity_start	MANUAL	6549435	60	64	JKs	began
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	11783	trafficker.n	82	Commerce_scenario	MANUAL	6549436	87	97	JKs	traffickers
205	23722	4	1	0	4101565	The attacks have intensified since the Colombian government began cracking down on the traffickers in August , trying to prevent their takeover of the country .	14080	in.prep	1895	Temporal_collocation	MANUAL	6549437	99	100	JKs	in
