corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	null	null	null	null	UNANN	6521585	null	null	null	null
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	10082	boy.n	973	People_by_age	MANUAL	6521673	14	16	Pam	boy
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	747	report.n	43	Statement	MANUAL	6521674	18	24	Pam	reports
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	1535	see.v	70	Perception_experience	MANUAL	6521675	26	31	Pam	seeing
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	5526	man.n	304	People	MANUAL	6521676	35	37	Pam	man
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	8140	boat.n	429	Vehicle	MANUAL	6521677	55	58	Pam	boat
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	7808	car.n	429	Vehicle	MANUAL	6521678	67	69	Pam	car
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	1098	park.v	62	Placing	MANUAL	6521679	71	76	Pam	parked
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	11418	harbor.n	196	Locale_by_use	MANUAL	6521742	85	90	Pam	harbor
175	23491	1	1	0	4096518	A 12-year-old boy reports seeing a man launch a rubber boat from a car parked at the harbor . 	11826	launch.v	1387	Getting_vehicle_underway	MANUAL	6525802	39	44	JKR	launch
175	23491	2	1	0	4096519	FBI officials find what they believe may be explosives in the car . 	null	null	null	null	UNANN	6521586	null	null	null	null
175	23491	2	1	0	4096519	FBI officials find what they believe may be explosives in the car . 	10625	official.n	73	Leadership	MANUAL	6521680	4	12	Pam	officials
