corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	23592	1	1	0	4099231	Text for Event Extraction Workshop	null	null	null	null	UNANN	6534065	null	null	null	null
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	null	null	null	null	UNANN	6534066	null	null	null	null
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	751	say.v	43	Statement	MANUAL	6534068	19	22	MJE	says
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	2471	hijack.v	123	Piracy	MANUAL	6534069	42	49	MJE	hijacked
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	4068	month.n	229	Calendric_unit	MANUAL	6534071	173	178	MJE	months
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	6715	after.prep	379	Time_vector	MANUAL	6534072	138	142	MJE	after
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	4470	carry.v	240	Bringing	MANUAL	6534073	77	84	MJE	carrying
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13129	food.n	277	Food	MANUAL	6534076	86	89	MJE	food
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13123	aid	391	Assistance	MANUAL	6534077	91	93	MJE	aid
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	18492	victim.n	115	Catastrophe	MANUAL	6534078	107	113	MJE	victims
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	5760	release.v	317	Releasing	MANUAL	6534079	120	127	MJE	released
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	8142	ship.n	429	Vehicle	MANUAL	6534080	133	136	MJE	ship
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13131	vessel.n	429	Vehicle	MANUAL	6534081	70	75	MJE	vessel
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13130	gunman.n	470	Bearing_arms	MANUAL	6534082	31	36	MJE	gunmen
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13132	hold.v	245	Inhibit_movement	MANUAL	6534083	144	150	MJE	holding
175	23592	1	2	0	4099232	The United Nations says Somali gunmen who hijacked a U.N. - chartered vessel carrying food aid for tsunami victims have released the ship after holding it for more than two months .	13156	charter.v	1728	Renting	MANUAL	6534315	60	68	MJE	chartered
175	23592	1	3	0	4099233	End of text .	null	null	null	null	UNANN	6534067	null	null	null	null
