corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	null	null	null	null	UNANN	6528504	null	null	null	null
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	2177	friend.n	102	Personal_relationship	MANUAL	6528523	65	71	RLG	friends
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	7431	decide.v	363	Deciding	MANUAL	6528524	73	79	RLG	decided
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	8632	assassinate.v	590	Killing	MANUAL	6528525	84	94	RLG	assassinate
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	10822	prime	73	Leadership	MANUAL	6528526	115	119	EGp	prime
175	23551	1	1	0	4097598	In 1945 , the twenty - seven - year - old Anwar al-Sadat and his friends decided to assassinate the on - and - off prime minister of Egypt , Nahhas Pasha .	10822	prime	73	Leadership	MANUAL	6528526	121	128	EGp	minister
175	23551	1	2	0	4097599	Religious decrees were used to justify the assassination of Egyptian president Anwar Sadat .	null	null	null	null	UNANN	6528505	null	null	null	null
175	23551	1	2	0	4097599	Religious decrees were used to justify the assassination of Egyptian president Anwar Sadat .	10619	use.v	1141	Using	MANUAL	6528527	23	26	RLG	used
175	23551	1	2	0	4097599	Religious decrees were used to justify the assassination of Egyptian president Anwar Sadat .	8034	justify.v	512	Justifying	MANUAL	6528528	31	37	RLG	justify
175	23551	1	2	0	4097599	Religious decrees were used to justify the assassination of Egyptian president Anwar Sadat .	9068	assassination.n	590	Killing	MANUAL	6528529	43	55	RLG	assassination
175	23551	1	2	0	4097599	Religious decrees were used to justify the assassination of Egyptian president Anwar Sadat .	1599	president	73	Leadership	MANUAL	6528530	69	77	RLG	president
175	23551	1	3	0	4097600	The Islambouli Brigades is named after Lt . Khaled Islambouli , the leader of a group of militant Islamists who assassinated Sadat during a 1981 military parade in Cairo .	null	null	null	null	UNANN	6528506	null	null	null	null
175	23551	1	3	0	4097600	The Islambouli Brigades is named after Lt . Khaled Islambouli , the leader of a group of militant Islamists who assassinated Sadat during a 1981 military parade in Cairo .	5544	named.a	228	Being_named	MANUAL	6528531	27	31	RLG	named
175	23551	1	3	0	4097600	The Islambouli Brigades is named after Lt . Khaled Islambouli , the leader of a group of militant Islamists who assassinated Sadat during a 1981 military parade in Cairo .	1593	leader.n	73	Leadership	MANUAL	6528532	68	73	RLG	leader
175	23551	1	3	0	4097600	The Islambouli Brigades is named after Lt . Khaled Islambouli , the leader of a group of militant Islamists who assassinated Sadat during a 1981 military parade in Cairo .	2112	group.n	103	Aggregate	MANUAL	6528533	80	84	RLG	group
