corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	null	null	null	null	UNANN	6645025	null	null	null	null
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	3776	avenue.n	203	Roadways	MANUAL	6645026	110	115	EGp	avenue
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	2188	high.a	108	Dimension	MANUAL	6645027	64	67	EGp	high
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	2813	mile.n	154	Measure_linear_extent	MANUAL	6645028	42	46	EGp	miles
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	1261	walk.n	64	Self_motion	MANUAL	6645029	22	25	EGp	walk
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	10370	cold.a	1052	Ambient_temperature	MANUAL	6645030	2	5	EGp	cold
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	8078	couple.n	218	Cardinal_numbers	MANUAL	6645031	32	37	EGp	couple
175	25343	1	1	0	4148194	A cold and melancholy walk of a couple of miles brought us to a high wooden gate , which opened into a gloomy avenue of chestnuts .	9920	bring.v	240	Bringing	MANUAL	6645032	48	54	EGp	brought
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	null	null	null	null	UNANN	6645033	null	null	null	null
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	2999	house.n	173	Buildings	MANUAL	6645034	53	57	EGp	house
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	973	lead.v	56	Cotheme	MANUAL	6645035	30	32	EGp	led
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	17260	pitchblack.a	423	Color	MANUAL	6645036	61	70	EGp	pitchblack
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	17257	low.a	965	Measurable_attributes	MANUAL	6645037	42	44	EGp	low
175	25343	2	1	0	4148195	The curved and shadowed drive led us to a low , dark house , pitchblack against a slate-coloured sky .	17261	colored.a	423	Color	MANUAL	6645038	88	95	EGp	coloured
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	null	null	null	null	UNANN	6645039	null	null	null	null
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	5745	left.n	143	Part_orientational	MANUAL	6645040	31	34	EGp	left
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	9238	glimmer.n	131	Light_movement	MANUAL	6645041	63	69	EGp	glimmer
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	10274	window.n	1025	Connecting_architecture	MANUAL	6645042	15	20	EGp	window
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	10268	door.n	1025	Connecting_architecture	MANUAL	6645043	43	46	EGp	door
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	17256	front.a	143	Part_orientational	MANUAL	6645044	9	13	EGp	front
175	25343	3	1	0	4148196	From the front window upon the left of the door there peeped a glimmer of a feeble light .	1308	peep.v	66	Perception_active	MANUAL	6645045	54	59	EGp	peeped
175	25343	4	1	0	4148197	&quot; There 's a constable in possession , &quot; said Baynes .	null	null	null	null	UNANN	6645046	null	null	null	null
175	25343	4	1	0	4148197	&quot; There 's a constable in possession , &quot; said Baynes .	2419	possession.n	118	Possession	MANUAL	6645047	26	35	EGp	e in posse
175	25343	4	1	0	4148197	&quot; There 's a constable in possession , &quot; said Baynes .	751	say.v	43	Statement	MANUAL	6645048	41	44	EGp	 , &
175	25343	5	1	0	4148198	&quot; I 'll knock at the window . &quot;	null	null	null	null	UNANN	6645049	null	null	null	null
175	25343	5	1	0	4148198	&quot; I 'll knock at the window . &quot;	10274	window.n	1025	Connecting_architecture	MANUAL	6645050	21	26	EGp	 the w
175	25343	6	1	0	4148199	He stepped across the grass plot and tapped with his hand on the pane .	null	null	null	null	UNANN	6645051	null	null	null	null
175	25343	6	1	0	4148199	He stepped across the grass plot and tapped with his hand on the pane .	2409	hand.n	119	Body_parts	MANUAL	6645052	53	56	EGp	hand
175	25343	6	1	0	4148199	He stepped across the grass plot and tapped with his hand on the pane .	1235	step.v	64	Self_motion	MANUAL	6645053	3	9	EGp	stepped
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	null	null	null	null	UNANN	6645054	null	null	null	null
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	1532	hear.v	70	Perception_experience	MANUAL	6645055	88	92	EGp	heard
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	5526	man.n	304	People	MANUAL	6645056	39	41	EGp	man
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	3159	room.n	188	Building_subparts	MANUAL	6645057	122	125	EGp	room
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	1535	see.v	70	Perception_experience	MANUAL	6645058	33	35	EGp	saw
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	1228	spring.v	64	Self_motion	MANUAL	6645059	43	48	EGp	spring
175	25343	7	1	0	4148200	Through the fogged glass I dimly saw a man spring up from a chair beside the fire , and heard a sharp cry from within the room .	13671	cry.n	1840	Vocalizations	MANUAL	6645060	102	104	EGp	cry
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	null	null	null	null	UNANN	6645061	null	null	null	null
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	2409	hand.n	119	Body_parts	MANUAL	6645062	116	119	EGp	hand
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	4545	open.v	254	Closure	MANUAL	6645063	61	66	EGp	opened
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	10268	door.n	1025	Connecting_architecture	MANUAL	6645064	72	75	EGp	door
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	11640	later.adv	81	Relative_time	MANUAL	6645065	11	15	EGp	later
175	25343	8	1	0	4148201	An instant later a white-faced , hardbreathing policeman had opened the door , the candle wavering in his trembling hand .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6645066	99	100	EGp	in
175	25343	9	1	0	4148202	&quot; What 's the matter , Walters ? &quot; asked Baynes sharply .	null	null	null	null	UNANN	6645067	null	null	null	null
175	25343	9	1	0	4148202	&quot; What 's the matter , Walters ? &quot; asked Baynes sharply .	8421	ask.v	40	Questioning	MANUAL	6645068	35	39	EGp	 ? &q
175	25343	1	2	0	4148203	The man mopped his forehead with his handkerchief and agave a long sigh of relief .	null	null	null	null	UNANN	6645069	null	null	null	null
175	25343	1	2	0	4148203	The man mopped his forehead with his handkerchief and agave a long sigh of relief .	2406	forehead.n	119	Body_parts	MANUAL	6645070	19	26	EGp	forehead
175	25343	1	2	0	4148203	The man mopped his forehead with his handkerchief and agave a long sigh of relief .	5526	man.n	304	People	MANUAL	6645071	4	6	EGp	man
175	25343	1	2	0	4148203	The man mopped his forehead with his handkerchief and agave a long sigh of relief .	4962	sigh.n	272	Breathing	MANUAL	6645072	67	70	EGp	sigh
