corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23602	1	1	0	4099346	Introduction to BW Terrorism	null	null	null	null	UNANN	6534573	null	null	null	null
135	23602	1	1	0	4099346	Introduction to BW Terrorism	13343	terrorism.n	1750	Terrorism	MANUAL	6536538	19	27	KmG	Terrorism
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	null	null	null	null	UNANN	6534574	null	null	null	null
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	7745	attack.n	424	Attack	MANUAL	6534674	98	104	RLG	attacks
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	5399	letter.n	298	Text	MANUAL	6534675	167	173	RLG	letters
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	4	make.v	5	Causation	MANUAL	6534676	180	183	RLG	made
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	8787	concerned.a	46	Emotion_directed	MANUAL	6534677	221	229	RLG	concerned
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	10619	use.v	1141	Using	MANUAL	6534678	253	255	RLG	use
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	10637	biological	426	Weapon	MANUAL	6534679	269	278	EGp	biological
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	10637	biological	426	Weapon	MANUAL	6534679	280	286	EGp	weapons
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	10635	chemical	426	Weapon	MANUAL	6534680	257	264	RLG	chemical
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	10635	chemical	426	Weapon	MANUAL	6534680	280	286	RLG	weapons
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	13344	terrorist.n	1750	Terrorism	MANUAL	6536485	88	96	KmG	terrorist
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	13344	terrorist.n	1750	Terrorism	MANUAL	6536495	236	245	KmG	terrorists
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	13429	nerve	426	Weapon	MANUAL	6540196	15	19	EGp	nerve
135	23602	1	2	0	4099347	The release of nerve gas on the Tokyo subway by a Japanese cult on March 20, 1995 , the terrorist attacks of September 11, 2001 , and the sending of anthrax - tainted letters have made policymakers and the general public concerned that terrorists could use chemical or biological weapons ( CBW ) to inflict mass casualties .	13429	nerve	426	Weapon	MANUAL	6540196	21	23	EGp	gas
