corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23513	1	1	0	4096883	Overview	null	null	null	null	UNANN	6522548	null	null	null	null
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	null	null	null	null	UNANN	6522549	null	null	null	null
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	7367	accuse.v	219	Judgment_communication	MANUAL	6522798	14	20	MiL	accused
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	10656	secretly.adv	1145	Secrecy_status	MANUAL	6522799	44	51	MiL	secretly
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	10724	program.n	1158	Project	MANUAL	6522801	103	109	MiL	program
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	11731	develop.v	1349	Cause_to_make_progress	MANUAL	6523852	53	62	MJE	developing
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	7760	offensive.n	424	Attack	UNANN	6523904	null	null	null	null
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	7760	offensive.n	424	Attack	UNANN	6523904	67	75	MJE	offensive
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	11600	warfare.n	93	Hostile_encounter	MANUAL	6523905	88	94	MJE	warfare
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	11623	bw.n	93	Hostile_encounter	MANUAL	6523906	98	99	MJE	BW
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	2662	circle.n	103	Aggregate	MANUAL	6527807	33	39	MiL	circles
135	23513	1	2	0	4096884	Iran is often accused in Western circles of secretly developing an offensive biological warfare ( BW ) program .	13357	biological.a	426	Weapon	MANUAL	6536666	77	86	RLG	biological
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	null	null	null	null	UNANN	6522550	null	null	null	null
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	747	report.n	43	Statement	MANUAL	6523032	10	15	MiL	report
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	697	claim.v	43	Statement	MANUAL	6523033	68	74	MiL	claimed
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	10724	program.n	1158	Project	MANUAL	6523034	118	124	MiL	program
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	2378	have.v	118	Possession	MANUAL	6523035	93	95	MiL	had
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	9155	since.adv	379	Time_vector	MANUAL	6523037	126	130	MiL	since
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	11600	warfare.n	93	Hostile_encounter	MANUAL	6523858	110	116	MJE	warfare
135	23513	2	2	0	4096885	In a 1996 report to the US Senate , the Central Intelligence Agency claimed that `` Iran has had a biological warfare program since the early 1980s .	13357	biological.a	426	Weapon	MANUAL	6536667	99	108	RLG	biological
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	null	null	null	null	UNANN	6522551	null	null	null	null
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	2756	believe.v	141	Certainty	MANUAL	6523038	73	79	MiL	believe
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	7297	hold.v	397	Containing	MANUAL	6523039	86	90	MiL	holds
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	10724	program.n	1158	Project	UNANN	6523845	null	null	null	null
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	10724	program.n	1158	Project	UNANN	6523845	14	20	JKR	program
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	10685	research.n	1152	Research	UNANN	6523853	null	null	null	null
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	10685	research.n	1152	Research	UNANN	6523853	32	39	MJE	research
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	11608	agent.n	1322	Active_substance	MANUAL	6523855	110	115	MJE	agents
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	7794	weapon.n	426	Weapon	MANUAL	6523856	121	127	MJE	weapons
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	11623	bw.n	93	Hostile_encounter	UNANN	6523857	null	null	null	null
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	11623	bw.n	93	Hostile_encounter	UNANN	6523857	107	108	MJE	BW
135	23513	3	2	0	4096886	Currently the program is in its research and development stages , but we believe Iran holds some stocks of BW agents and weapons ... ''	12265	stock.n	1511	Store	MANUAL	6528266	97	102	RLG	stocks
135	23513	1	3	0	4096887	Iran has ratified the Biological and Toxin Weapons Convention ( BWC ) and publicly decried all forms of weapons of mass destruction ( WMD ) .	null	null	null	null	UNANN	6522552	null	null	null	null
135	23513	1	3	0	4096887	Iran has ratified the Biological and Toxin Weapons Convention ( BWC ) and publicly decried all forms of weapons of mass destruction ( WMD ) .	7391	decry.v	219	Judgment_communication	MANUAL	6523044	83	89	MiL	decried
