corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23512	1	1	0	4096703	Introduction	null	null	null	null	UNANN	6522368	null	null	null	null
135	23512	1	2	0	4096704	Over the past 25 years , the Islamic Republic of Iran has pursued an aggressive ballistic missile and long - range artillery rocket development program .	null	null	null	null	UNANN	6522369	null	null	null	null
135	23512	1	2	0	4096704	Over the past 25 years , the Islamic Republic of Iran has pursued an aggressive ballistic missile and long - range artillery rocket development program .	10724	program.n	1158	Project	MANUAL	6523081	144	150	JKR	program
135	23512	2	2	0	4096705	Since the late 1980s , this program has been assigned a national priority at least equal to that of the nuclear program .	null	null	null	null	UNANN	6522370	null	null	null	null
135	23512	2	2	0	4096705	Since the late 1980s , this program has been assigned a national priority at least equal to that of the nuclear program .	10724	program.n	1158	Project	UNANN	6523082	null	null	null	null
135	23512	2	2	0	4096705	Since the late 1980s , this program has been assigned a national priority at least equal to that of the nuclear program .	10724	program.n	1158	Project	UNANN	6523082	28	34	JKR	program
135	23512	2	2	0	4096705	Since the late 1980s , this program has been assigned a national priority at least equal to that of the nuclear program .	10724	program.n	1158	Project	MANUAL	6523090	112	118	JKR	program
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	null	null	null	null	UNANN	6522371	null	null	null	null
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	1980	high.a	95	Position_on_a_scale	MANUAL	6523083	62	65	JKR	high
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	7537	receive.v	411	Receiving	MANUAL	6524303	255	261	MiL	receive
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	2799	continue.v	145	Process_continue	MANUAL	6525098	243	250	RLG	continue
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10636	ballistic	426	Weapon	MANUAL	6525100	173	181	EGp	ballistic
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10636	ballistic	426	Weapon	MANUAL	6525100	183	189	EGp	missile
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10707	weapon	426	Weapon	MANUAL	6525101	195	201	EGp	weapons
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10707	weapon	426	Weapon	MANUAL	6525101	203	204	EGp	of
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10707	weapon	426	Weapon	MANUAL	6525101	206	209	EGp	mass
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	10707	weapon	426	Weapon	MANUAL	6525101	211	221	EGp	destruction
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	6544	concerning.prep	373	Topic	MANUAL	6527781	111	120	RLG	concerning
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	12623	unemployment.n	1606	Unemployment_rate	MANUAL	6534394	46	57	RLG	unemployment
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	3588	foreseeable.a	26	Expectation	MANUAL	6534452	354	364	RLG	foreseeable
135	23512	3	2	0	4096706	Although Iran 's economy is not flourishing , unemployment is high and there is a low level of internal unrest concerning the restrictive nature of the Islamic government , ballistic missile and weapons of mass destruction ( WMD ) development continue to receive very high commitments of financial and material resources -- and will likely do so for the foreseeable future .	1981	low.a	95	Position_on_a_scale	MANUAL	6536707	82	84	RLG	low
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	null	null	null	null	UNANN	6522372	null	null	null	null
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	10636	ballistic	426	Weapon	MANUAL	6523372	19	27	EGp	ballistic
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	10636	ballistic	426	Weapon	MANUAL	6523372	29	36	EGp	missiles
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	3585	predictable.a	26	Expectation	MANUAL	6523374	138	148	MJE	predictable
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	11646	development.n	1340	Progression	MANUAL	6525102	4	14	RLG	development
135	23512	1	3	0	4096707	The development of ballistic missiles and long - range artillery rockets within Iran has proceeded in a relatively steady , logical , and predictable manner .	11693	proceed.v	145	Process_continue	MANUAL	6525103	89	97	RLG	proceeded
135	23512	2	3	0	4096708	Today , it possesses the second largest ( behind the Democratic People's Republic of Korea -- DPRK ) ballistic missile force in the third world and is near to developing a space launch vehicle and medium - range and intercontinental ballistic missiles that could threaten Europe and the continental United States .	null	null	null	null	UNANN	6522373	null	null	null	null
135	23512	2	3	0	4096708	Today , it possesses the second largest ( behind the Democratic People's Republic of Korea -- DPRK ) ballistic missile force in the third world and is near to developing a space launch vehicle and medium - range and intercontinental ballistic missiles that could threaten Europe and the continental United States .	2418	possess.v	118	Possession	MANUAL	6523085	11	19	JKR	possesses
135	23512	2	3	0	4096708	Today , it possesses the second largest ( behind the Democratic People's Republic of Korea -- DPRK ) ballistic missile force in the third world and is near to developing a space launch vehicle and medium - range and intercontinental ballistic missiles that could threaten Europe and the continental United States .	10636	ballistic	426	Weapon	MANUAL	6523375	101	109	EGp	ballistic
135	23512	2	3	0	4096708	Today , it possesses the second largest ( behind the Democratic People's Republic of Korea -- DPRK ) ballistic missile force in the third world and is near to developing a space launch vehicle and medium - range and intercontinental ballistic missiles that could threaten Europe and the continental United States .	10636	ballistic	426	Weapon	MANUAL	6523375	111	117	EGp	missile
