corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23611	1	1	0	4099658	Chemical Overview	null	null	null	null	UNANN	6535866	null	null	null	null
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	null	null	null	null	UNANN	6535867	null	null	null	null
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	8135	assessment.n	519	Assessing	MANUAL	6535955	5	14	KmG	assessment
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	11911	rank.v	519	Assessing	MANUAL	6535992	16	20	KmG	ranks
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	2432	possessor.n	118	Possession	MANUAL	6535994	52	61	KmG	possessors
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	8558	weaponry.n	426	Weapon	MANUAL	6535995	75	82	KmG	weaponry
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	10179	world.n	195	Political_locales	MANUAL	6535996	91	95	KmG	world
135	23611	1	2	0	4099659	This assessment ranks North Korea among the largest possessors of chemical weaponry in the world .	13358	chemical.a	426	Weapon	MANUAL	6536691	66	73	KmG	chemical
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	null	null	null	null	UNANN	6535868	null	null	null	null
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	5845	report.n	298	Text	MANUAL	6535997	12	18	KmG	reports
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	8387	testimony.n	560	Documents	MANUAL	6535998	24	34	KmG	testimonies
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	13161	believe.v	1731	Trust	MANUAL	6535999	74	81	KmG	believed
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	12282	military.n	1514	Military	MANUAL	6536000	94	101	KmG	military
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	2418	possess.v	118	Possession	MANUAL	6536001	103	111	KmG	possesses
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	2807	ton.n	147	Measure_mass	MANUAL	6536002	137	140	KmG	tons
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	10635	chemical	426	Weapon	MANUAL	6536003	145	152	EGp	chemical
135	23611	2	2	0	4099660	If official reports and testimonies from North Korean defectors are to be believed , the DPRK military possesses between 2,500 and 5,000 tons of chemical weapons .	10635	chemical	426	Weapon	MANUAL	6536003	154	160	EGp	weapons
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	null	null	null	null	UNANN	6535869	null	null	null	null
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	12281	clear.a	1360	Obviousness	MANUAL	6536005	10	14	KmG	clear
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	3381	amount.n	189	Quantified_mass	UNANN	6536006	null	null	null	null
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	3381	amount.n	189	Quantified_mass	UNANN	6536006	36	41	KmG	amount
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	10687	include.v	1153	Inclusion	MANUAL	6536007	43	50	KmG	includes
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	12463	munitions.n	1565	Ammunition	MANUAL	6536008	56	64	KmG	munitions
135	23611	3	2	0	4099661	It is not clear , however , if this amount includes the munitions or only the CW agents themselves .	11608	agent.n	1322	Active_substance	MANUAL	6536009	81	86	KmG	agents
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	null	null	null	null	UNANN	6535870	null	null	null	null
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	11608	agent.n	1322	Active_substance	MANUAL	6536010	20	25	KmG	agents
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	10634	arsenal.n	426	Weapon	MANUAL	6536011	39	45	KmG	arsenal
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	10687	include.v	1153	Inclusion	MANUAL	6536012	47	53	KmG	include
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	12252	major.a	407	Importance	MANUAL	6536013	66	70	KmG	major
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	2556	class.n	128	Type	MANUAL	6536014	72	78	KmG	classes
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	7093	blister.n	393	Body_mark	UNANN	6536015	null	null	null	null
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	7093	blister.n	393	Body_mark	UNANN	6536015	152	158	KmG	blister
135	23611	4	2	0	4099662	Reportedly , the CW agents in the DPRK arsenal include all of the major classes , such as phosgene ( choking ) , hydrogen cyanide ( blood ) , mustard ( blister ) and sarin ( nerve agent ) .	11608	agent.n	1322	Active_substance	MANUAL	6536016	180	184	KmG	agent
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	null	null	null	null	UNANN	6535871	null	null	null	null
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	5845	report.n	298	Text	MANUAL	6536018	17	22	KmG	report
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	1582	commander.n	73	Leadership	MANUAL	6536019	33	41	KmG	commander
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	755	suggest.v	43	Statement	MANUAL	6536020	103	110	KmG	suggests
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	11608	agent.n	1322	Active_substance	MANUAL	6536021	177	182	KmG	agents
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	10687	include.v	1153	Inclusion	MANUAL	6536022	199	205	KmG	include
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	11608	agent.n	1322	Active_substance	MANUAL	6536024	267	272	KmG	agents
135	23611	5	2	0	4099663	However , a 2002 report from the commander of U.S. Forces in Korea , General Thomas A. Schwartz , also suggests that North Korea is self - sufficient only in World War I era CW agents -- these would include compounds such as phosgene , Lewisite , and mustard blister agents , but not the more potent nerve agent classes .	11608	agent.n	1322	Active_substance	MANUAL	6536025	306	310	KmG	agent
