corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23481	1	1	0	4096468	Nuclear 	null	null	null	null	UNANN	6521532	null	null	null	null
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	null	null	null	null	UNANN	6521533	null	null	null	null
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	10711	complex.n	196	Locale_by_use	MANUAL	6521582	50	56	MJE	complex
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	10714	reactor.n	196	Locale_by_use	MANUAL	6521583	107	113	MJE	reactor
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	10685	research.n	1152	Research	MANUAL	6521602	41	48	MJE	research
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	10685	research.n	1152	Research	MANUAL	6521603	98	105	MJE	research
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	11430	establish.v	280	Intentionally_create	MANUAL	6521842	12	22	Pam	established
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	11431	set	280	Intentionally_create	MANUAL	6521843	82	84	Pam	set
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	11550	site.n	196	Locale_by_use	MANUAL	6522237	122	125	RLG	site
135	23481	1	2	0	4096469	North Korea established a nuclear energy research complex at Yongbyon in 1964 and set up a Soviet research reactor at the site in mid-2002 . 	12423	energy.n	1535	Electricity	MANUAL	6528386	34	39	RLG	energy
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	null	null	null	null	UNANN	6521534	null	null	null	null
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	1652	expand.v	77	Cause_expansion	MANUAL	6521584	25	32	MJE	expanded
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	10711	complex.n	196	Locale_by_use	MANUAL	6521604	38	44	MJE	complex
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	4738	build.v	259	Building	MANUAL	6521605	50	54	MJE	built
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	3338	number.n	189	Quantified_mass	MANUAL	6521606	58	63	MJE	number
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	10687	include.v	1153	Inclusion	MANUAL	6521607	85	93	MJE	including
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	15769	large.a	2282	Size	MANUAL	6521608	97	101	MJE	large
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	10662	facility.n	196	Locale_by_use	MANUAL	6521609	72	81	MJE	facilities
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	11435	plant.n	196	Locale_by_use	MANUAL	6521844	126	130	Pam	plant
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	11436	laboratory.n	196	Locale_by_use	MANUAL	6521845	149	158	Pam	Laboratory
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	11440	reprocessing.n	620	Processing_materials	MANUAL	6521883	113	124	JKR	reprocessing
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	12253	plutonium.n	1321	Substance	MANUAL	6528083	103	111	MiL	plutonium
135	23481	2	2	0	4096470	North Korea subsequently expanded the complex and built a number of new facilities , including a large plutonium reprocessing plant ( Radiochemistry Laboratory ) . 	12566	new.a	1597	Familiarity	MANUAL	6530478	68	70	RLG	new
135	23481	3	2	0	4096471	North Korea signed the Treaty on the Non-Proliferation of Nuclear Weapons ( NPT ) in 1985 but did not submit to International Atomic Energy Agency ( IAEA ) inspections until May 1992 . 	null	null	null	null	UNANN	6521535	null	null	null	null
135	23481	3	2	0	4096471	North Korea signed the Treaty on the Non-Proliferation of Nuclear Weapons ( NPT ) in 1985 but did not submit to International Atomic Energy Agency ( IAEA ) inspections until May 1992 . 	10681	sign.v	1151	Sign_agreement	MANUAL	6521610	12	17	MJE	signed
135	23481	3	2	0	4096471	North Korea signed the Treaty on the Non-Proliferation of Nuclear Weapons ( NPT ) in 1985 but did not submit to International Atomic Energy Agency ( IAEA ) inspections until May 1992 . 	11268	inspection.n	1262	Inspecting	MANUAL	6521612	156	166	MJE	inspections
