corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23561	1	1	0	4097608	Nuclear Capabilities	null	null	null	null	UNANN	6528578	null	null	null	null
135	23561	1	1	0	4097608	Nuclear Capabilities	12170	nuclear.a	426	Weapon	MANUAL	6536703	0	6	KmG	Nuclear
135	23561	1	2	0	4097609	Methodology	null	null	null	null	UNANN	6528579	null	null	null	null
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	null	null	null	null	UNANN	6528580	null	null	null	null
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	3683	country.n	195	Political_locales	MANUAL	6528775	0	8	RLG	Countries
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	11731	develop.v	1349	Cause_to_make_progress	MANUAL	6528776	10	19	RLG	developing
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	10641	clandestine.a	1145	Secrecy_status	MANUAL	6528777	21	31	RLG	clandestine
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	10652	nuclear	426	Weapon	MANUAL	6528778	33	39	EGp	nuclear
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	10652	nuclear	426	Weapon	MANUAL	6528778	41	47	EGp	weapons
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	10724	program.n	1158	Project	MANUAL	6528779	49	56	RLG	programs
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	12537	information.n	1591	Information	MANUAL	6528780	97	107	RLG	information
135	23561	1	3	0	4097610	Countries developing clandestine nuclear weapons programs usually go to great lengths to conceal information about these programs from the outside world .	10724	program.n	1158	Project	UNANN	6528781	null	null	null	null
