corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23562	1	1	0	4097638	Nuclear Overview	null	null	null	null	UNANN	6528612	null	null	null	null
135	23562	1	1	0	4097638	Nuclear Overview	12170	nuclear.a	426	Weapon	MANUAL	6536704	0	6	KmG	Nuclear
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	null	null	null	null	UNANN	6528613	null	null	null	null
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	2340	violate.v	117	Compliance	MANUAL	6529345	25	32	JKR	violated
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	12297	withdraw.v	1518	Withdraw_from_participation	MANUAL	6529346	40	48	JKR	withdrawn
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	10616	activity.n	198	Intentionally_act	MANUAL	6529347	119	128	JKR	activities
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	11441	production.n	408	Manufacturing	MANUAL	6529348	158	167	JKR	production
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6529349	172	178	EGp	nuclear
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6529349	180	186	EGp	weapons
135	23562	1	2	0	4097639	North Korea has joined , violated , and withdrawn from the Nuclear Non - Proliferation Treaty ( NPT ) in the course of activities apparently dedicated to the production of nuclear weapons .	13160	join.v	1733	Becoming_a_member	MANUAL	6534337	16	21	RLG	joined
135	23562	2	2	0	4097640	On 23 April 2003 in Beijing , North Korean Deputy Foreign Minster Li Gun ( Lee Gu ( n ) reportedly told U.S. Assistant Secretary for East Asian and Pacific Affairs James Kelly that North Korea possesses nuclear weapons .	null	null	null	null	UNANN	6528614	null	null	null	null
135	23562	2	2	0	4097640	On 23 April 2003 in Beijing , North Korean Deputy Foreign Minster Li Gun ( Lee Gu ( n ) reportedly told U.S. Assistant Secretary for East Asian and Pacific Affairs James Kelly that North Korea possesses nuclear weapons .	9177	tell.v	750	Telling	MANUAL	6529365	99	102	JKR	told
135	23562	2	2	0	4097640	On 23 April 2003 in Beijing , North Korean Deputy Foreign Minster Li Gun ( Lee Gu ( n ) reportedly told U.S. Assistant Secretary for East Asian and Pacific Affairs James Kelly that North Korea possesses nuclear weapons .	2418	possess.v	118	Possession	MANUAL	6529379	193	201	JKR	possesses
