corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23563	1	1	0	4097759	Introduction	null	null	null	null	UNANN	6528734	null	null	null	null
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	null	null	null	null	UNANN	6528735	null	null	null	null
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	10707	weapon	426	Weapon	MANUAL	6529006	114	120	EGp	weapons
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	10707	weapon	426	Weapon	MANUAL	6529006	122	123	EGp	of
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	10707	weapon	426	Weapon	MANUAL	6529006	125	128	EGp	mass
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	10707	weapon	426	Weapon	MANUAL	6529006	130	140	EGp	destruction
135	23563	1	2	0	4097760	The collapse of the Soviet Union in December 1991 left the Russian Federation with the bulk of the massive Soviet weapons of mass destruction complex .	10711	complex.n	196	Locale_by_use	MANUAL	6529007	142	148	RLG	complex
135	23563	2	2	0	4097761	This legacy has allowed Russia to retain its great power status even as its economy has collapsed , but the burden of supporting this oversized complex has strained the Russian political and economic system .	null	null	null	null	UNANN	6528736	null	null	null	null
135	23563	2	2	0	4097761	This legacy has allowed Russia to retain its great power status even as its economy has collapsed , but the burden of supporting this oversized complex has strained the Russian political and economic system .	12489	economy.n	1572	Economy	MANUAL	6529008	76	82	RLG	economy
135	23563	2	2	0	4097761	This legacy has allowed Russia to retain its great power status even as its economy has collapsed , but the burden of supporting this oversized complex has strained the Russian political and economic system .	12490	economic.a	1572	Economy	MANUAL	6529009	191	198	RLG	economic
135	23563	2	2	0	4097761	This legacy has allowed Russia to retain its great power status even as its economy has collapsed , but the burden of supporting this oversized complex has strained the Russian political and economic system .	12637	system.n	1610	System	MANUAL	6530519	200	205	RLG	system
135	23563	2	2	0	4097761	This legacy has allowed Russia to retain its great power status even as its economy has collapsed , but the burden of supporting this oversized complex has strained the Russian political and economic system .	12650	complex.n	1610	System	MANUAL	6530570	144	150	RLG	complex
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	null	null	null	null	UNANN	6528737	null	null	null	null
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	7827	missile.n	426	Weapon	MANUAL	6529010	22	28	RLG	missile
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10702	capability.n	990	Capability	MANUAL	6529011	30	41	RLG	capabilities
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	7506	crucial.a	407	Importance	MANUAL	6529012	59	65	RLG	crucial
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10320	remnant.n	1030	Remainder	MANUAL	6529013	121	128	RLG	remnants
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10637	biological	426	Weapon	MANUAL	6529014	146	155	EGp	biological
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10637	biological	426	Weapon	MANUAL	6529014	157	163	EGp	weapons
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10635	chemical	426	Weapon	MANUAL	6529015	133	140	RLG	chemical
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10635	chemical	426	Weapon	MANUAL	6529015	157	163	RLG	weapons
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	10724	program.n	1158	Project	MANUAL	6529016	165	172	RLG	programs
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	12589	proliferation.n	1599	Proliferating_in_number	MANUAL	6530323	203	215	RLG	proliferation
135	23563	3	2	0	4097762	Russia 's nuclear and missile capabilities presupposes its crucial role in arms control and nonproliferation , while the remnants of chemical and biological weapons programs pose major environmental and proliferation threats .	12651	arms.n	426	Weapon	MANUAL	6530572	75	78	RLG	arms
135	23563	1	3	0	4097763	Nuclear	null	null	null	null	UNANN	6528738	null	null	null	null
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	null	null	null	null	UNANN	6528739	null	null	null	null
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	10652	nuclear	426	Weapon	MANUAL	6529017	11	17	EGp	nuclear
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	10652	nuclear	426	Weapon	MANUAL	6529017	19	24	EGp	weapon
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	10724	program.n	1158	Project	MANUAL	6529018	26	32	RLG	program
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	2656	begin.v	133	Process_start	MANUAL	6529019	34	38	RLG	began
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	11837	successful.a	1389	Successful_action	MANUAL	6529020	80	89	RLG	successful
135	23563	1	4	0	4097764	The Soviet nuclear weapon program began during World War II and culminated in a successful atomic bomb test in 1949 .	11463	test.n	1301	Operational_testing	MANUAL	6529022	103	106	RLG	test
135	23563	2	4	0	4097765	Russia , as the successor of the Soviet Union , is a nuclear weapon state party to the Non - Proliferation Treaty ( NPT ) .	null	null	null	null	UNANN	6528740	null	null	null	null
135	23563	2	4	0	4097765	Russia , as the successor of the Soviet Union , is a nuclear weapon state party to the Non - Proliferation Treaty ( NPT ) .	10652	nuclear	426	Weapon	MANUAL	6529023	53	59	EGp	nuclear
135	23563	2	4	0	4097765	Russia , as the successor of the Soviet Union , is a nuclear weapon state party to the Non - Proliferation Treaty ( NPT ) .	10652	nuclear	426	Weapon	MANUAL	6529023	61	66	EGp	weapon
135	23563	2	4	0	4097765	Russia , as the successor of the Soviet Union , is a nuclear weapon state party to the Non - Proliferation Treaty ( NPT ) .	3688	state	195	Political_locales	MANUAL	6529024	68	72	RLG	state
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	null	null	null	null	UNANN	6528741	null	null	null	null
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	10677	according	1148	Attributed_information	MANUAL	6529025	0	8	CVa	According
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	10677	according	1148	Attributed_information	MANUAL	6529025	10	11	CVa	to
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	7794	weapon.n	426	Weapon	MANUAL	6529026	118	124	RLG	weapons
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	2378	have.v	118	Possession	MANUAL	6529027	93	95	RLG	had
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	12266	stockpile.n	1511	Store	MANUAL	6529028	133	141	RLG	stockpile
135	23563	3	4	0	4097766	According to estimates by the Natural Resources Defense Council , by 1991 , the Soviet Union had approximately 35,000 weapons in its stockpile , down from a peak in 1986 of approximately 45,000 .	12291	estimate.n	1516	Estimated_value	MANUAL	6530326	13	21	RLG	estimates
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	null	null	null	null	UNANN	6528742	null	null	null	null
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	12288	estimate.v	1513	Estimating	MANUAL	6529029	10	18	RLG	estimated
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	2378	have.v	118	Possession	MANUAL	6529030	27	30	RLG	have
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	12266	stockpile.n	1511	Store	MANUAL	6529031	79	87	RLG	stockpile
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	2746	uncertain.a	141	Certainty	MANUAL	6529032	97	105	RLG	uncertain
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10329	there	660	Existence	MANUAL	6529033	115	119	RLG	there
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10329	there	660	Existence	MANUAL	6529033	121	122	RLG	is
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	12274	accurate.a	1512	Correctness	MANUAL	6529034	127	134	RLG	accurate
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6529035	154	160	EGp	nuclear
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6529035	162	168	EGp	weapons
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6530517	46	52	EGp	nuclear
135	23563	4	4	0	4097767	Russia is estimated to now have around 20,000 nuclear weapons , although total stockpile size is uncertain because there is no accurate count of tactical nuclear weapons .	10652	nuclear	426	Weapon	MANUAL	6530517	54	60	EGp	weapons
135	23563	5	4	0	4097768	However , in 2002 Russia declared it will eliminate its tactical nuclear weapons by the end of 2004 .	null	null	null	null	UNANN	6528743	null	null	null	null
135	23563	5	4	0	4097768	However , in 2002 Russia declared it will eliminate its tactical nuclear weapons by the end of 2004 .	714	declare.v	43	Statement	MANUAL	6529036	25	32	RLG	declared
135	23563	5	4	0	4097768	However , in 2002 Russia declared it will eliminate its tactical nuclear weapons by the end of 2004 .	1126	eliminate.v	63	Removing	MANUAL	6529037	42	50	RLG	eliminate
