corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23571	1	1	0	4097878	Introduction	null	null	null	null	UNANN	6530617	null	null	null	null
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	null	null	null	null	UNANN	6530618	null	null	null	null
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	10724	program.n	1158	Project	MANUAL	6530670	62	69	CFB	programs
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	12182	government.n	73	Leadership	MANUAL	6533930	151	160	RLG	government
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	3683	country.n	195	Political_locales	MANUAL	6533931	202	208	RLG	country
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	11646	development.n	1340	Progression	MANUAL	6533933	241	251	RLG	development
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	7827	missile.n	426	Weapon	MANUAL	6534346	54	60	RLG	missile
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	13357	biological.a	426	Weapon	MANUAL	6536672	26	35	RLG	biological
135	23571	1	2	0	4097879	South Africa 's nuclear , biological , chemical , and missile programs reflected perceptions of internal and external threats stemming from its former government 's policy of apartheid , as well as the country 's advanced state of technical development .	13358	chemical.a	426	Weapon	MANUAL	6536684	39	46	KmG	chemical
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	null	null	null	null	UNANN	6530619	null	null	null	null
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	11731	develop.v	1349	Cause_to_make_progress	MANUAL	6533934	9	17	RLG	developed
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	10652	nuclear	426	Weapon	MANUAL	6533935	19	25	EGp	nuclear
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	10652	nuclear	426	Weapon	MANUAL	6533935	27	33	EGp	weapons
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	10636	ballistic	426	Weapon	MANUAL	6533936	39	47	EGp	ballistic
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	10636	ballistic	426	Weapon	MANUAL	6533936	49	56	EGp	missiles
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	12156	early.a	1470	Temporal_subregion	MANUAL	6533937	98	102	RLG	early
135	23571	2	2	0	4097880	Pretoria developed nuclear weapons and ballistic missiles but relinquished these armaments in the early 1990s .	13151	relinquish.v	1500	Surrendering_possession	MANUAL	6534347	62	73	RLG	relinquished
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	null	null	null	null	UNANN	6530620	null	null	null	null
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10724	program.n	1158	Project	MANUAL	6533855	90	96	MiL	program
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	12182	government.n	73	Leadership	MANUAL	6533938	14	23	RLG	government
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	11713	undertake.v	116	Attempt	MANUAL	6533939	30	38	RLG	undertook
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10635	chemical	426	Weapon	MANUAL	6533940	42	49	RLG	chemical
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10635	chemical	426	Weapon	MANUAL	6533940	66	72	RLG	weapons
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10637	biological	426	Weapon	MANUAL	6533941	55	64	EGp	biological
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10637	biological	426	Weapon	MANUAL	6533941	66	72	EGp	weapons
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	11621	defense.n	1330	Defending	UNANN	6533942	null	null	null	null
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	11621	defense.n	1330	Defending	UNANN	6533942	82	88	RLG	defense
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	11444	reportedly.adv	1154	Unattributed_information	MANUAL	6533943	106	115	RLG	reportedly
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10687	include.v	1153	Inclusion	MANUAL	6533944	122	129	RLG	included
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10685	research.n	1152	Research	MANUAL	6533945	141	148	RLG	research
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	10622	use.n	1141	Using	MANUAL	6533946	154	156	RLG	use
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	11608	agent.n	1322	Active_substance	MANUAL	6533947	165	170	RLG	agents
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	12182	government.n	73	Leadership	MANUAL	6533948	198	207	RLG	government
135	23571	3	2	0	4097881	The apartheid government also undertook a chemical and biological weapons ( CBW ) defense program , which reportedly also included offensive research and use of CBW agents against opponents of that government .	13140	opponent.n	1306	Taking_sides	MANUAL	6534304	180	188	RLG	opponents
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	null	null	null	null	UNANN	6530621	null	null	null	null
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	12589	proliferation.n	1599	Proliferating_in_number	UNANN	6533949	null	null	null	null
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	12589	proliferation.n	1599	Proliferating_in_number	UNANN	6533949	10	22	RLG	proliferation
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	7827	missile.n	426	Weapon	MANUAL	6533950	64	70	RLG	missile
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	10724	program.n	1158	Project	MANUAL	6533951	72	79	RLG	programs
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	12315	resolve.v	1523	Resolve_problem	MANUAL	6533952	98	105	RLG	resolved
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	11042	verify.v	1230	Verification	MANUAL	6533953	115	122	RLG	verified
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	12778	measures.n	198	Intentionally_act	MANUAL	6533954	136	143	RLG	measures
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	10238	international.a	195	Political_locales	MANUAL	6533955	154	166	RLG	international
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	7365	acclaim.n	219	Judgment_communication	MANUAL	6533956	168	174	RLG	acclaim
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	11594	dismantlement.n	417	Destroying	MANUAL	6533957	178	190	RLG	dismantlement
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	3683	country.n	195	Political_locales	MANUAL	6533958	199	205	RLG	country
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	10702	capability.n	990	Capability	MANUAL	6533959	214	225	RLG	capabilities
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	11042	verify.v	1230	Verification	MANUAL	6533960	235	242	RLG	verified
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	6148	comparable.a	353	Evaluative_comparison	MANUAL	6533961	249	258	RLG	comparable
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	2753	certainty.n	141	Certainty	MANUAL	6533963	270	278	RLG	certainty
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	13112	disarmament.n	58	Emptying	UNANN	6534297	null	null	null	null
135	23571	4	2	0	4097882	While the proliferation legacies of South Africa 's nuclear and missile programs were effectively resolved through verified disarmament measures that won international acclaim , dismantlement of the country 's CBW capabilities was not verified to a comparable degree of certainty .	13112	disarmament.n	58	Emptying	UNANN	6534297	124	134	RLG	disarmament
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	null	null	null	null	UNANN	6530622	null	null	null	null
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	12182	government.n	73	Leadership	MANUAL	6533964	21	30	RLG	government
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	10707	weapon	426	Weapon	MANUAL	6533965	139	145	EGp	Weapons
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	10707	weapon	426	Weapon	MANUAL	6533965	147	148	EGp	of
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	10707	weapon	426	Weapon	MANUAL	6533965	150	153	EGp	Mass
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	10707	weapon	426	Weapon	MANUAL	6533965	155	165	EGp	Destruction
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	10813	transfer.n	178	Transfer	MANUAL	6533966	205	212	RLG	transfer
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	11662	technology.n	421	Artifact	MANUAL	6533967	237	248	RLG	technologies
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	13112	disarmament.n	58	Emptying	UNANN	6534298	null	null	null	null
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	13112	disarmament.n	58	Emptying	UNANN	6534298	85	95	RLG	disarmament
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	13136	implement.v	1726	Execute_plan	MANUAL	6534302	48	58	RLG	implemented
135	23571	5	2	0	4097883	The post - apartheid government of South Africa implemented its nonproliferation and disarmament policy through the Non - Proliferation of Weapons of Mass Destruction Act ( No. 87 of 1993 ) to control the transfer of sensitive items and technologies .	13137	item.n	251	Entity	MANUAL	6534303	227	231	RLG	items
