corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	null	null	null	null	UNANN	4530782	null	null	null	null
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	1872	fall.v	91	Change_position_on_a_scale	MANUAL	4530794	58	61	MJE	fell
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	1981	low.a	95	Position_on_a_scale	MANUAL	4530795	156	160	MJE	lower
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	11113	company.n	365	Businesses	MANUAL	4530796	186	192	MJE	company
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	11251	third.a	1147	Ordinal_numbers	MANUAL	4530798	31	35	MJE	third
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	13735	income.n	1873	Earnings_and_losses	MANUAL	4530842	51	56	RLG	income
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	13740	result.n	1873	Earnings_and_losses	MANUAL	4530843	162	168	RLG	results
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	13729	quarter.n	229	Calendric_unit	MANUAL	4530928	39	45	AlK	quarter
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	13736	net.n	1873	Earnings_and_losses	MANUAL	4530929	47	49	AlK	net
115	23019	1	1	0	2824527	Aetna Life and Casualty Co. 's third - quarter net income fell 22 % to $ 182.6 million , or $ 1.63 a share , reflecting the damages from Hurricane Hugo and lower results for some of the company 's major divisions .	14650	damage.n	415	Damaging	MANUAL	4530930	124	130	AlK	damages
