corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	null	null	null	null	UNANN	4528192	null	null	null	null
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10110	art.n	981	Craft	MANUAL	4528532	4	6	MJE	art
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10131	peculiar.a	982	Idiosyncrasy	MANUAL	4528533	29	36	MJE	peculiar
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10092	English.n	974	People_by_origin	MANUAL	4528534	45	51	MJE	English
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	8995	like.prep	481	Similarity	MANUAL	4528535	61	64	MJE	like
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10132	peculiarity.n	982	Idiosyncrasy	MANUAL	4528536	79	91	MJE	peculiarities
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10161	unintelligible.a	979	Grasp	MANUAL	4528537	95	108	MJE	unintelligible
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10172	rest.n	1000	Rest	MANUAL	4528538	117	120	MJE	rest
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	10179	world.n	195	Political_locales	MANUAL	4528539	129	133	MJE	world
115	23009	1	1	0	2824197	The art of change-ringing is peculiar to the English , and , like most English peculiarities , unintelligible to the rest of the world .	14295	at	1923	Proportional_quantity	MANUAL	4530980	66	69	AlK	most
115	23009	1	2	0	2824198	Dorothy L. Sayers , `` The Nine Tailors ''	null	null	null	null	UNANN	4528193	null	null	null	null
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	null	null	null	null	UNANN	4528194	null	null	null	null
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10027	stand.v	960	Being_located	MANUAL	4528522	118	123	CFB	stands
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10189	scene.n	71	Sensation	MANUAL	4528540	29	34	MJE	scenes
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10190	of.prep	1010	Partitive	MANUAL	4528541	22	23	MJE	Of
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10190	of.prep	1010	Partitive	MANUAL	4528542	75	76	MJE	of
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10207	lovely.a	1016	Aesthetics	MANUAL	4528543	82	90	MJE	loveliest
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	10072	ancient.a	972	Age	MANUAL	4528544	97	103	MJE	ancient
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	17720	amid.prep	1178	Interior_profile_relation	MANUAL	4528545	125	128	MJE	amid
115	23009	1	3	0	2824199	ASLACTON , England -- Of all scenes that evoke rural England , this is one of the loveliest : An ancient stone church stands amid the fields , the sound of bells cascading from its tower , calling the faithful to evensong .	1557	sound.n	71	Sensation	MANUAL	4528546	147	151	MJE	sound
