corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	null	null	null	null	UNANN	4528262	null	null	null	null
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	10156	can.v	990	Capability	MANUAL	4528592	3	5	CHg	can
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	6604	hope.v	366	Desiring	MANUAL	4528593	10	14	CHg	hoped
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	223	conclusion.n	23	Coming_to_believe	MANUAL	4528602	80	89	CHg	conclusion
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	9831	victory.n	798	Finish_competition	MANUAL	4528607	116	122	CHg	victory
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	10822	prime	73	Leadership	MANUAL	4529482	29	33	EGp	Prime
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	10822	prime	73	Leadership	MANUAL	4529482	35	42	EGp	Minister
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	10900	election.n	72	Change_of_leadership	MANUAL	4530071	107	114	JKR	election
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	12450	narrow.a	1562	Margin_of_resolution	MANUAL	4530405	100	105	JKR	narrow
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	12273	right.a	1512	Correctness	MANUAL	4530944	74	78	AlK	right
115	23010	1	1	0	2824267	It can be hoped that Spanish Prime Minister Felipe Gonzalez will draw the right conclusion from his narrow election victory Sunday .	4655	Sunday.n	229	Calendric_unit	MANUAL	4531146	124	129	AlK	Sunday
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	null	null	null	null	UNANN	4528263	null	null	null	null
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	10385	topple.v	72	Change_of_leadership	MANUAL	4528612	91	96	CHg	topple
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	11858	fail.v	1389	Successful_action	MANUAL	4530384	81	86	RLG	failed
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	12473	strong.a	1563	Level_of_force_exertion	MANUAL	4530412	2	7	JKR	strong
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	12487	far	1564	People_along_political_spectrum	MANUAL	4530422	28	30	EGp	far
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	12487	far	1564	People_along_political_spectrum	MANUAL	4530422	32	35	EGp	left
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	12501	challenge.n	241	Competition	MANUAL	4530453	9	17	JKR	challenge
115	23010	2	1	0	2824268	A strong challenge from the far left , the Communist coalition Izquierda Unida , failed to topple him .	12500	coalition.n	1574	Alliance	MANUAL	4530946	53	61	AlK	coalition
115	23010	3	1	0	2824269	He should consider his victory a mandate to continue his growth-oriented economic reforms and not a demand that he move further left .	null	null	null	null	UNANN	4528264	null	null	null	null
115	23010	3	1	0	2824269	He should consider his victory a mandate to continue his growth-oriented economic reforms and not a demand that he move further left .	9831	victory.n	798	Finish_competition	MANUAL	4528622	23	29	CHg	victory
115	23010	3	1	0	2824269	He should consider his victory a mandate to continue his growth-oriented economic reforms and not a demand that he move further left .	5435	continue.v	164	Activity_ongoing	MANUAL	4528623	44	51	CHg	continue
