corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25738	1	1	0	4216909	Unusual eating behavior occurs in about three-quarters of children with ASD , to the extent that it was formerly a diagnostic indicator .	null	null	null	null	UNANN	6773724	null	null	null	null
246	25738	2	1	0	4216910	Although individuals with Asperger syndrome tend to perform better cognitively than those with autism , the extent of the overlap between Asperger syndrome , HFA , and non-syndromal autism is unclear .	null	null	null	null	UNANN	6773725	null	null	null	null
246	25738	3	1	0	4216911	It presents a vision of a dystopian future world in which totalitarian collectivism has triumphed to such an extent that even the word 'I ' has been forgotten and replaced with 'we ' .	null	null	null	null	UNANN	6773726	null	null	null	null
246	25738	4	1	0	4216912	However , some former NBI students believe the extent of these behaviors has been exaggerated , with the problem being concentrated among Rand 's closest followers in New York .	null	null	null	null	UNANN	6773727	null	null	null	null
246	25738	5	1	0	4216913	However , by the time she wrote ''The Fountainhead '' , Rand had turned against Nietzsche 's ideas , and the extent of his influence on her even during her early years is disputed .	null	null	null	null	UNANN	6773728	null	null	null	null
246	25738	6	1	0	4216914	It is still an open question whether these three strands share a common origin , or to what extent they influenced each other .	null	null	null	null	UNANN	6773729	null	null	null	null
246	25738	7	1	0	4216915	In addition to mathematics and statistics , the arithmetic mean is used frequently in fields such as economics , sociology , and history , though it is used in almost every academic field to some extent .	null	null	null	null	UNANN	6773730	null	null	null	null
246	25738	8	1	0	4216916	This has changed for the most part in Anchorage and to a lesser extent in Fairbanks , where the cost of living has dropped somewhat in the past five years .	null	null	null	null	UNANN	6773731	null	null	null	null
246	25738	9	1	0	4216917	Anchorage itself , and to a lesser extent Fairbanks , are served by many major airlines .	null	null	null	null	UNANN	6773732	null	null	null	null
246	25738	10	1	0	4216918	To reduce the extent of farm-related youth injuries , the National Institute of Occupational Safety and Health ( NIOSH ) and the Marshfield Clinic Research Foundation have issued a set of guidelines known as the North American Guidelines for Children's Agricultural Tasks ( NAGCAT ) based on child development principles that matched children 's abilities with the requirements of specific farm work .	null	null	null	null	UNANN	6773733	null	null	null	null
246	25738	10	1	0	4216918	To reduce the extent of farm-related youth injuries , the National Institute of Occupational Safety and Health ( NIOSH ) and the Marshfield Clinic Research Foundation have issued a set of guidelines known as the North American Guidelines for Children's Agricultural Tasks ( NAGCAT ) based on child development principles that matched children 's abilities with the requirements of specific farm work .	18662	extent.n	2604	Quantity	MANUAL	6773820	14	19	CFB	extent
246	25738	1	2	0	4216919	In subtropical and arid environments , the timing and extent of agriculture may be limited by rainfall , either not allowing multiple annual crops in a year , or requiring irrigation .	null	null	null	null	UNANN	6773734	null	null	null	null
